Model,type,score
Gen3,Imaging quality,4.66
Cogvideox,Imaging quality,3.87
VideoCrafter2,Imaging quality,4.08
Kling,Imaging quality,4.26
Show-1,Imaging quality,3.3
LaVie,Imaging quality,3.0
Pika-Beta,Imaging quality,3.78
Gen3,Aesthetic quality,4.44
Cogvideox,Aesthetic quality,3.84
VideoCrafter2,Aesthetic quality,3.85
Kling,Aesthetic quality,3.82
Show-1,Aesthetic quality,3.28
LaVie,Aesthetic quality,2.94
Pika-Beta,Aesthetic quality,3.76
Gen3,Temporal consistency,4.74
Cogvideox,Temporal consistency,4.14
VideoCrafter2,Temporal consistency,3.69
Kling,Temporal consistency,4.38
Show-1,Temporal consistency,3.9
LaVie,Temporal consistency,3.0
Pika-Beta,Temporal consistency,3.4
Gen3,Motion effects,3.99
Cogvideox,Motion effects,3.55
VideoCrafter2,Motion effects,2.81
Kling,Motion effects,3.11
Show-1,Motion effects,2.9
LaVie,Motion effects,2.43
Pika-Beta,Motion effects,2.59
