% of Respondents,Main obstacle
0.008948545861297539,None
0.02237136465324385,Other
0.08501118568232663,Lack of executive support
0.22595078299776286,Organizational resistance
0.28187919463087246,Immature vendor or<br>ecosystem landscape
0.3243847874720358,Unclear or insufficient<br>business value
0.34451901565995524,Resource or budget constraints
0.36017897091722595,Gaps in RAI tooling and control
0.37583892617449666,Regulatory uncertainty
0.37583892617449666,Technical limitations
0.61744966442953,Security and risk concerns
