% of Organizations,Regulation,Year
0.07,Other,2024
0.169960474,None of the these/no change,2024
0.212121212,OECD AI Principles,2024
0.19,US Presidential Executive Order on AI,2024
0.409749671,EU AI Act,2024
0.654808959,EU General Data Protection Regulation (GDPR),2024
0.036290323,Other,2025
0.118951613,None of the these/no change,2025
0.163306452,OECD AI Principles,2025
0.21,US Presidential Executive Order on AI,2025
0.326612903,NIST AI Risk Management Framework (AI RMF),2025
0.360887097,ISO/IEC 42001 (AI Management System Standard),2025
0.427419355,EU AI Act,2025
0.598790323,EU General Data Protection Regulation (GDPR),2025
