% of Respondents,Obstacle,Year
0.02,Other,2024
0.16,Lack of executive support,2024
0.22,Organizational resistance,2024
0.32,Technical limitations,2024
0.4,Regulatory uncertainty,2024
0.45,Resource or budget constraints,2024
0.51,Knowledge and training gaps,2024
0,Other,2024
0.14,Lack of executive support,2025
0.26,Organizational resistance,2025
0.38,Technical limitations,2025
0.41,Regulatory uncertainty,2025
0.48,Resource or budget constraints,2025
0.59,Knowledge and training gaps,2025
