category,year,count
Fairness & Bias,2019,57
Fairness & Bias,2020,98
Fairness & Bias,2021,150
Fairness & Bias,2022,169
Fairness & Bias,2023,212
Fairness & Bias,2024,408
Fairness & Bias,2025,462
Privacy,2022,7
Privacy & Data Governance,2019,39
Privacy & Data Governance,2020,124
Privacy & Data Governance,2021,150
Privacy & Data Governance,2022,85
Privacy & Data Governance,2023,213
Privacy & Data Governance,2024,186
Privacy & Data Governance,2025,248
Security,2019,162
Security,2020,168
Security,2021,215
Security,2022,285
Security,2023,276
Security,2024,521
Security,2025,641
Transparency & Explainability,2019,89
Transparency & Explainability,2020,134
Transparency & Explainability,2021,189
Transparency & Explainability,2022,231
Transparency & Explainability,2023,393
Transparency & Explainability,2024,355
Transparency & Explainability,2025,405
