Year,RAI papers (% of total),Label
2019,0.088,ICLR
2020,0.08879184861717612,ICLR
2021,0.10930232558139535,ICLR
2022,0.039269406392694065,ICLR
2023,0.10609911054637865,ICLR
2024,0.07555555555555556,ICLR
2025,0.07615446934917634,ICLR
2019,0.06080206985769728,ICML
2020,0.07077205882352941,ICML
2021,0.05912162162162162,ICML
2022,0.06720647773279352,ICML
2023,0.03393541324575807,ICML
2024,0.08237547892720307,ICML
2025,0.07645072152287381,ICML
2019,0.10294117647058823,NeurIPS
2020,0.09526315789473684,NeurIPS
2021,0.09812286689419795,NeurIPS
2022,0.11332082551594747,NeurIPS
2023,0.1379738968303294,NeurIPS
2024,0.09016596482536537,NeurIPS
2025,0.07981842254586723,NeurIPS
2019,0.04521739130434783,AAAI
2020,0.06913890634820867,AAAI
2021,0.09456264775413711,AAAI
2022,0.10155670867309118,AAAI
2023,0.09936083672283556,AAAI
2024,0.1336464560204953,AAAI
2025,0.08003570365962512,AAAI
2019,0.18571428571428572,AIES
2020,0.14084507042253522,AIES
2021,0.33962264150943394,AIES
2022,0.2564102564102564,AIES
2023,0.6567164179104478,AIES
2024,0.6333333333333333,AIES
2025,0.5467625899280576,AIES
2019,0.6341463414634146,FAccT
2020,0.7246376811594203,FAccT
2021,0.6585365853658537,FAccT
2022,0.6132596685082873,FAccT
2023,0.6797385620915033,FAccT
2024,0.6914285714285714,FAccT
2025,0.6743119266055045,FAccT
