Country/Region,Country Code,Status_Category
Albania,ALB,Legislation
Algeria,DZA,Legislation
Andorra,AND,Legislation
Angola,AGO,Legislation
Antigua and Barbuda,ATG,Legislation
Argentina,ARG,Legislation
Armenia,ARM,Legislation
Australia,AUS,Legislation
Austria,AUT,Legislation
Azerbaijan,AZE,Legislation
Bahamas,BHS,Legislation
Bahrain,BHR,Legislation
Bangladesh,BGD,Draft legislation
Barbados,BRB,Draft legislation
Belarus,BLR,Legislation
Belgium,BEL,Legislation
Belize,BLZ,Legislation
Benin,BEN,Legislation
Bhutan,BTN,Legislation
Bolivia (Plurinational State of),BOL,Legislation
Bosnia and Herzegovina,BIH,Legislation
Botswana,BWA,Legislation
Brazil,BRA,Legislation
Bulgaria,BGR,Legislation
Burkina Faso,BFA,Legislation
Cambodia,KHM,Legislation
Cameroon,CMR,Legislation
Canada,CAN,Legislation
Chad,TCD,Legislation
Chile,CHL,Legislation
China,CHN,Legislation
Colombia,COL,Legislation
Costa Rica,CRI,Legislation
Côte d'Ivoire,CIV,Legislation
Croatia,HRV,Legislation
Cuba,CUB,Legislation
Cyprus,CYP,Legislation
Democratic Republic of the Congo,COD,Legislation
Denmark,DNK,Legislation
Dominican Republic,DOM,Legislation
Ecuador,ECU,Legislation
Egypt,EGY,Legislation
El Salvador,SLV,Legislation
Estonia,EST,Legislation
Eswatini,SWZ,Legislation
Ethiopia,ETH,Legislation
Finland,FIN,Legislation
France,FRA,Legislation
Gabon,GAB,Legislation
Gambia,GMB,Legislation
Georgia,GEO,Legislation
Germany,DEU,Legislation
Ghana,GHA,Legislation
Greece,GRC,Legislation
Grenada,GRD,Legislation
Guatemala,GTM,Legislation
Guinea,GIN,Legislation
Guyana,GUY,Legislation
Honduras,HND,Legislation
Hungary,HUN,Legislation
Iceland,ISL,Legislation
India,IND,Legislation
Indonesia,IDN,Legislation
Iran (Islamic Republic of),IRN,Legislation
Ireland,IRL,Legislation
Israel,ISR,Draft legislation
Italy,ITA,Legislation
Jamaica,JAM,Legislation
Japan,JPN,Legislation
Jordan,JOR,Legislation
Kazakhstan,KAZ,Legislation
Kenya,KEN,Legislation
Kuwait,KWT,Legislation
Lao People's Democratic Republic,LAO,Legislation
Latvia,LVA,Legislation
Lebanon,LBN,Legislation
Lesotho,LSO,Legislation
Liechtenstein,LIE,Legislation
Lithuania,LTU,Legislation
Luxembourg,LUX,Legislation
Madagascar,MDG,Legislation
Malawi,MWI,Legislation
Malaysia,MYS,Legislation
Maldives,MDV,Draft legislation
Mali,MLI,Legislation
Malta,MLT,Legislation
Mauritania,MRT,Legislation
Mauritius,MUS,Legislation
Mexico,MEX,Legislation
Monaco,MCO,Legislation
Mongolia,MNG,Legislation
Montenegro,MNE,Legislation
Morocco,MAR,Legislation
Namibia,NAM,Draft legislation
Nepal,NPL,Legislation
Netherlands,NLD,Legislation
New Zealand,NZL,Legislation
Nicaragua,NIC,Legislation
Niger,NER,Legislation
Nigeria,NGA,Legislation
North Macedonia,MKD,Legislation
Norway,NOR,Legislation
Oman,OMN,Legislation
Pakistan,PAK,Draft legislation
Panama,PAN,Legislation
Paraguay,PRY,Legislation
Peru,PER,Legislation
Philippines,PHL,Legislation
Poland,POL,Legislation
Portugal,PRT,Legislation
Qatar,QAT,Legislation
Republic of Korea,KOR,Legislation
Republic of Moldova,MDA,Legislation
Romania,ROU,Legislation
Russian Federation,RUS,Legislation
Rwanda,RWA,Legislation
Saint Kitts and Nevis,KNA,Legislation
Saint Lucia,LCA,Legislation
Saint Vincent and the Grenadines,VCT,Legislation
San Marino,SMR,Legislation
Saudi Arabia,SAU,Legislation
Senegal,SEN,Legislation
Serbia,SRB,Legislation
Seychelles,SYC,Draft legislation
Singapore,SGP,Legislation
Slovakia,SVK,Legislation
Slovenia,SVN,Legislation
South Africa,ZAF,Legislation
Spain,ESP,Legislation
Sri Lanka,LKA,Legislation
Suriname,SUR,Legislation
Sweden,SWE,Legislation
Switzerland,CHE,Legislation
Syrian Arab Republic,SYR,Legislation
Tajikistan,TJK,Legislation
Thailand,THA,Legislation
Togo,TGO,Legislation
Trinidad and Tobago,TTO,Legislation
Tunisia,TUN,Legislation
Türkiye,TUR,Legislation
Turkmenistan,TKM,Legislation
Uganda,UGA,Legislation
Ukraine,UKR,Legislation
United Arab Emirates,ARE,Legislation
United Kingdom of Great Britain and Northern Ireland,GBR,Legislation
United Republic of Tanzania,TZA,Legislation
United States of America,USA,Legislation
Uruguay,URY,Legislation
Uzbekistan,UZB,Legislation
Viet Nam,VNM,Legislation
Yemen,YEM,Legislation
Zambia,ZMB,Legislation
Zimbabwe,ZWE,Legislation
Congo,COG,Legislation
Equatorial Guinea,GNQ,Legislation
Sao Tome and Principe,STP,Legislation
Somalia,SOM,Legislation
Czechia,CZE,Legislation
Venezuela,VEN,No legislation
Sierra Leone,SLE,No legislation
Guinea-Bissau,GNB,No legislation
Sierra Leone,SLE,No legislation
Liberia,LBR,No legislation
Libia,LBY,No legislation
Sudan,SDN,No legislation
Ethiopia,ETH,No legislation
Mozambique,MOZ,No legislation
Cental African Republica,CAF,No legislation
Israel,ISR,No legislation
Iraq,IRQ,No legislation
Afghanistan,AFG,No legislation
Myanmar,MMR,No legislation
Papua New Guinea,PNG,No legislation
South Sudan,SSD,No legislation
Eritrea,ERI,No legislation
Kyrgyzstan,KGZ,Legislation
