Country,Bias & Unfair Discrimination
Zimbabwe,0
Guinea,0
Guatemala,0
Ghana,0
Gabon,0
Ethiopia,0
Eritrea,0
El Salvador,0
Ecuador,0
Democratic Republic of the Congo,0
Côte d'Ivoire,0
Chad,0
Central African Republic,0
Haiti,0
Burundi,0
Botswana,0
Bolivia (Plurinational State of),0
Bhutan,0
Belize,0
Belarus,0
Barbados,0
Bahrain,0
Azerbaijan,0
Antigua and Barbuda,0
Algeria,0
Albania,0
Afghanistan,0
Burkina Faso,0
Honduras,0
Gambia,0
Indonesia,0
Uzbekistan,0
United Republic of Tanzania,0
Uganda,0
Turkmenistan,0
Togo,0
Tajikistan,0
South Sudan,0
Somalia,0
Hungary,0
Saint Lucia,0
Rwanda,0
Peru,0
Paraguay,0
Sierra Leone,0
Myanmar,0
Kazakhstan,0
Panama,0
Kyrgyz Republic,0
Lao People's Democratic Republic,0
Lesotho,0
Kosovo,0
Malawi,0
Liberia,0
Mozambique,0
Mongolia,0
Zambia,0
Mali,0
Mauritius,0
Kuwait,3.65
Malaysia,4.17
Nigeria,4.53
Nepal,4.9
Lebanon,4.9
Senegal,5.16
Cameroon,5.42
Cambodia,5.64
Republic of Korea,6.15
Lithuania,6.3
Guyana,6.3
Morocco,7.6
Thailand,8.99
Kenya,9.38
Sri Lanka,9.48
North Macedonia,10.42
Montenegro,10.83
Benin,11.46
Croatia,12.4
"China, Hong Kong Special Administrative Region",12.41
Trinidad and Tobago,12.92
Egypt,13.36
Philippines,14.53
Libya,15.35
Bulgaria,17.97
Niger,18.63
South Africa,19.53
Oman,19.87
Pakistan,21.64
Armenia,21.86
Serbia,22.03
Republic of Moldova,22.52
Singapore,23.44
Namibia,24.67
Austria,24.97
Vietnam,25.54
Mexico,27.09
Dominican Republic,29.01
Latvia,29.31
Qatar,30.84
Ukraine,31
Colombia,31.04
Jamaica,32.3
Tunisia,32.92
Costa Rica,34.85
Palestine,35.02
Georgia,35.26
India,37.11
China,38.59
Estonia,40.06
Portugal,40.51
Argentina,40.73
Slovakia,40.91
Greece,41.5
Jordan,42.77
France,43.61
Saudi Arabia,43.61
Romania,44.31
Brazil,44.32
Switzerland,45.4
United Arab Emirates,52.62
Finland,52.77
Taiwan,54.7
Spain,57.77
Belgium,60.35
Chile,61.21
Poland,61.63
Germany,62.44
Slovenia,62.63
Japan,63.57
Italy,69.31
Uruguay,76.6
Ireland,76.77
United Kingdom of Great Britain and Northern Ireland,80.17
Australia,83.49
New Zealand,84.47
Netherlands,84.47
Canada,85.67
United States of America,90.8
