Country,Cultural & Linguistic Diversity
Zambia,0
Gabon,0
Finland,0
El Salvador,0
Ecuador,0
Dominican Republic,0
Democratic Republic of the Congo,0
Croatia,0
Côte d'Ivoire,0
Colombia,0
Chad,0
Central African Republic,0
Burundi,0
Gambia,0
Botswana,0
Benin,0
Belize,0
Belgium,0
Belarus,0
Barbados,0
Bahrain,0
Azerbaijan,0
Austria,0
Antigua and Barbuda,0
Algeria,0
Albania,0
Afghanistan,0
Bolivia (Plurinational State of),0
Guatemala,0
Eritrea,0
Haiti,0
Trinidad and Tobago,0
Togo,0
Thailand,0
Tajikistan,0
Switzerland,0
South Sudan,0
Somalia,0
Slovakia,0
Sierra Leone,0
Guinea,0
Romania,0
Republic of Moldova,0
Panama,0
Oman,0
Saint Lucia,0
Myanmar,0
Honduras,0
Niger,0
Jamaica,0
Kuwait,0
Lao People's Democratic Republic,0
Indonesia,0
Liberia,0
Malaysia,0
Mali,0
Mauritius,0
Mozambique,0
Lesotho,0
United Republic of Tanzania,0
Saudi Arabia,1.98
Ethiopia,2.71
Libya,2.76
Zimbabwe,3.39
Uganda,3.91
Burkina Faso,4.22
Bhutan,4.27
Georgia,4.53
Nigeria,4.53
Sri Lanka,4.74
Armenia,4.74
Kosovo,4.9
Nepal,4.9
Lebanon,4.9
Senegal,5.16
Paraguay,5.21
Peru,5.26
Malawi,5.36
United Arab Emirates,5.42
Montenegro,5.42
Ghana,5.94
France,5.94
Namibia,6.15
China,6.72
Cameroon,8.12
Kenya,9.38
Tunisia,9.69
Guyana,12.6
Argentina,12.6
Japan,13.02
Turkmenistan,13.09
Chile,13.33
Ukraine,13.59
Bulgaria,17.97
"China, Hong Kong Special Administrative Region",18.62
Cambodia,18.69
Uruguay,19.53
South Africa,19.53
Uzbekistan,20.5
Pakistan,21.64
Serbia,22.58
Kyrgyz Republic,24.35
Kazakhstan,26.16
North Macedonia,26.82
Mexico,27.09
Costa Rica,28.4
Rwanda,29.32
Mongolia,29.38
Vietnam,30.23
Philippines,30.79
Poland,30.8
Palestine,31.73
Morocco,32.38
New Zealand,33.02
Hungary,34.07
Greece,35.3
Republic of Korea,37.69
Spain,39.07
Egypt,39.1
United Kingdom of Great Britain and Northern Ireland,39.28
Portugal,40.51
Latvia,41.05
Taiwan,42.5
Jordan,44.27
India,48.15
Netherlands,48.25
United States of America,50.3
Brazil,59.69
Lithuania,69.03
Canada,70.33
Australia,70.55
Slovenia,73.77
Estonia,74.48
Qatar,77.29
Italy,79.01
Ireland,82.77
Germany,87.55
Singapore,89.8
