Country Code,Status_Category
GBR,Established (operational)
USA,Established (operational)
JPN,Established (operational)
SGP,Established (operational)
ISR,Established (operational)
IND,Established (operational)
FRA,Established (operational)
KOR,Announced (in development)
CAN,Announced (in development)
DEU,Announced (in development)
BRA,Announced (in development)
KEN,Network member (no formal institute)
AUS,Network member (no formal institute)
AUT,Established (operational)
BEL,Established (operational)
BGR,Established (operational)
HRV,Established (operational)
CYP,Established (operational)
CZE,Established (operational)
DNK,Established (operational)
EST,Established (operational)
FIN,Established (operational)
FRA,Established (operational)
DEU,Established (operational)
GRC,Established (operational)
HUN,Established (operational)
IRL,Established (operational)
ITA,Established (operational)
LVA,Established (operational)
LTU,Established (operational)
LUX,Established (operational)
MLT,Established (operational)
NLD,Established (operational)
POL,Established (operational)
PRT,Established (operational)
ROU,Established (operational)
SVK,Established (operational)
SVN,Established (operational)
ESP,Established (operational)
SWE,Established (operational)
