Year,Total investment (in billions of US dollars),Label
2013.0,0.61658439,China
2014.0,0.673935556,China
2015.0,2.086373778,China
2016.0,4.519861251,China
2017.0,6.616391256,China
2018.0,13.965049606,China
2019.0,14.054024816,China
2020.0,17.069635912,China
2021.0,25.891135,China
2022.0,15.068451929,China
2023.0,9.468041482,China
2024.0,9.38793735,China
2025.0,12.412093488,China
2013.0,0.656467012,Europe
2014.0,1.300983597,Europe
2015.0,0.852841327,Europe
2016.0,1.233516216,Europe
2017.0,2.58862046,Europe
2018.0,3.003154228,Europe
2019.0,6.335507139,Europe
2020.0,6.201767211,Europe
2021.0,14.647912428,Europe
2022.0,14.785066259,Europe
2023.0,12.140064524,Europe
2024.0,19.524324034,Europe
2025.0,20.920554405,Europe
2013.0,3.620671948,United States
2014.0,6.957072547,United States
2015.0,9.300375238,United States
2016.0,10.154275927,United States
2017.0,14.065456072,United States
2018.0,21.051400722,United States
2019.0,32.073515772,United States
2020.0,44.216815156,United States
2021.0,86.855559397,United States
2022.0,61.185077969,United States
2023.0,72.364764946,United States
2024.0,109.547864789,United States
2025.0,285.875311074,United States
