Year,Number of companies,Label
2013,27,China
2014,43,China
2015,72,China
2016,69,China
2017,92,China
2018,205,China
2019,217,China
2020,205,China
2021,281,China
2022,178,China
2023,118,China
2024,98,China
2025,161,China
2013,60,Europe
2014,86,Europe
2015,97,Europe
2016,125,Europe
2017,183,Europe
2018,250,Europe
2019,242,Europe
2020,294,Europe
2021,404,Europe
2022,350,Europe
2023,413,Europe
2024,437,Europe
2025,639,Europe
2013,337,United States
2014,352,United States
2015,292,United States
2016,402,United States
2017,510,United States
2018,516,United States
2019,494,United States
2020,605,United States
2021,763,United States
2022,666,United States
2023,946,United States
2024,1073,United States
2025,1953,United States
