state_code,total_funding
AL,28133443
AK,11000000
AZ,504295852
AR,
CA,2.18466E+11
CO,19064091643
CT,741299628
DC,533276254
DE,2553868424
FL,6303763696
GA,1041120961
HI,86348142
ID,26400000
IL,695506911
IN,86191989
IA,32812085
KS,49560000
KY,34316499
LA,16959958
ME,29145332
MD,427136030
MA,4832340637
MI,238821609
MN,328226043
MS,117017694
MO,279543336
MT,62629266
NE,414999945
NV,539003701
NH,36200000
NJ,864929840
NM,32999999
NY,13116017337
NC,873689604
ND,5539911
OH,723122499
OK,
OR,189279972
PA,1551372713
RI,68323650
SC,5631145
SD,
TN,302277963
TX,4792414755
UT,958273070
VT,40000000
VA,1659682191
WA,2082609320
WV,
WI,116771752
WY,35103944
