Total investment (in billions of U.S. dollars),Focus area,Label
2.5797383170000003,Drones,2024
0.965170712,Ed tech,2024
0.670353984,HR tech,2024
1.596854185,"Marketing, digital ads",2024
0.0,Accounting/finance,2024
0.961302301,Quantum computing,2024
0.37724978,Entertainment,2024
0.679508284,Legal tech,2024
1.171704249,Retail,2024
0.748473975,"Creative, music, video content",2024
5.527567999,Semiconductors,2024
0.0075,Energy management,2024
0.0,Biotech,2024
0.6056915979999999,Defense,2024
6.880099165,Fintech,2024
3.288515919,Robotics,2024
9.426366229,Autonomous vehicles,2024
0.0015,AI agents,2024
3.733714874,"Cybersecurity, data protection",2024
0.0,Cloud computing,2024
0.0,Pharmaceutical,2024
10.991689161,Medical and healthcare,2024
0.840282684,Internet of things,2024
16.589649385,"Data management, processing",2024
37.271286267,AI infrastructure/models/research/governance,2024
1.424248738,Drones,2025
1.43586625,Ed tech,2025
2.187908841,HR tech,2025
2.50882042,"Marketing, digital ads",2025
2.586509905,Accounting/finance,2025
3.114514138,Quantum computing,2025
3.656731119,Entertainment,2025
3.79487792,Legal tech,2025
4.103613397,Retail,2025
4.188109218,"Creative, music, video content",2025
4.395554807,Semiconductors,2025
4.641061827,Energy management,2025
4.840507214,Biotech,2025
5.299308438,Defense,2025
6.516605140999999,Fintech,2025
7.841289596,Robotics,2025
7.942960444,Autonomous vehicles,2025
8.023158931,AI agents,2025
8.421489905,"Cybersecurity, data protection",2025
10.309480548,Cloud computing,2025
10.584698852,Pharmaceutical,2025
11.748137762,Medical and healthcare,2025
14.625975068,Internet of things,2025
31.583696715000002,"Data management, processing",2025
143.223763899,AI infrastructure/models/research/governance,2025
