Economy,H1 2025 AI Diffusion,H2 2025 AI Diffusion
United Arab Emirates,59.4,64
Singapore,58.6,60.9
Norway,45.3,46.4
Ireland,41.7,44.6
France,40.9,44
Spain,39.7,41.8
New Zealand,37.6,40.5
United Kingdom,36.4,38.9
Netherlands,36.3,38.9
Qatar,35.7,38.3
Australia,34.5,36.9
Israel,33.9,36.1
Belgium,33.5,36
Canada,33.5,35
Switzerland,32.4,34.8
Sweden,31.2,33.3
Austria,29.1,31.4
Hungary,27.9,29.8
Denmark,26.6,28.7
Germany,26.5,28.6
Poland,26.4,28.5
Taiwan,26.4,28.4
United States,26.3,28.3
Czech Republic,26,27.8
South Korea,25.9,30.7
Italy,25.8,27.8
Finland,25.6,27.3
Bulgaria,25.4,27.3
Jordan,25.4,27
Costa Rica,25.1,26.5
