industry,function,year,respondent_perc
Advanced industries ,Human resources,2025,18
Advanced industries ,IT,2025,40
Advanced industries ,Knowledge management,2025,29
Advanced industries ,Manufacturing,2025,26
Advanced industries ,Marketing and sales,2025,29
Advanced industries ,Product and/or service development,2025,30
Advanced industries ,"Risk, legal, and compliance",2025,7
Advanced industries ,Service operations,2025,22
Advanced industries ,Software engineering,2025,32
Advanced industries ,Strategy and corporate finance,2025,16
Advanced industries ,Supply chain/ inventory management,2025,25
"Business, legal, and  professional services ",Human resources,2025,20
"Business, legal, and  professional services ",IT,2025,21
"Business, legal, and  professional services ",Knowledge management,2025,58
"Business, legal, and  professional services ",Manufacturing,2025,1
"Business, legal, and  professional services ",Marketing and sales,2025,46
"Business, legal, and  professional services ",Product and/or service development,2025,33
"Business, legal, and  professional services ","Risk, legal, and compliance",2025,15
"Business, legal, and  professional services ",Service operations,2025,32
"Business, legal, and  professional services ",Software engineering,2025,13
"Business, legal, and  professional services ",Strategy and corporate finance,2025,22
"Business, legal, and  professional services ",Supply chain/ inventory management,2025,4
Consumer goods and  retail ,Human resources,2025,22
Consumer goods and  retail ,IT,2025,32
Consumer goods and  retail ,Knowledge management,2025,28
Consumer goods and  retail ,Manufacturing,2025,13
Consumer goods and  retail ,Marketing and sales,2025,51
Consumer goods and  retail ,Product and/or service development,2025,21
Consumer goods and  retail ,"Risk, legal, and compliance",2025,11
Consumer goods and  retail ,Service operations,2025,34
Consumer goods and  retail ,Software engineering,2025,19
Consumer goods and  retail ,Strategy and corporate finance,2025,9
Consumer goods and  retail ,Supply chain/ inventory management,2025,22
Energy and materials ,Human resources,2025,22
Energy and materials ,IT,2025,39
Energy and materials ,Knowledge management,2025,33
Energy and materials ,Manufacturing,2025,21
Energy and materials ,Marketing and sales,2025,33
Energy and materials ,Product and/or service development,2025,28
Energy and materials ,"Risk, legal, and compliance",2025,17
Energy and materials ,Service operations,2025,32
Energy and materials ,Software engineering,2025,30
Energy and materials ,Strategy and corporate finance,2025,20
Energy and materials ,Supply chain/ inventory management,2025,19
Financial services ,Human resources,2025,17
Financial services ,IT,2025,36
Financial services ,Knowledge management,2025,38
Financial services ,Manufacturing,2025,0
Financial services ,Marketing and sales,2025,36
Financial services ,Product and/or service development,2025,28
Financial services ,"Risk, legal, and compliance",2025,43
Financial services ,Service operations,2025,38
Financial services ,Software engineering,2025,23
Financial services ,Strategy and corporate finance,2025,12
Financial services ,Supply chain/ inventory management,2025,3
"Health care, pharma, and  medical products ",Human resources,2025,25
"Health care, pharma, and  medical products ",IT,2025,30
"Health care, pharma, and  medical products ",Knowledge management,2025,46
"Health care, pharma, and  medical products ",Manufacturing,2025,11
"Health care, pharma, and  medical products ",Marketing and sales,2025,38
"Health care, pharma, and  medical products ",Product and/or service development,2025,36
"Health care, pharma, and  medical products ","Risk, legal, and compliance",2025,13
"Health care, pharma, and  medical products ",Service operations,2025,25
"Health care, pharma, and  medical products ",Software engineering,2025,21
"Health care, pharma, and  medical products ",Strategy and corporate finance,2025,18
"Health care, pharma, and  medical products ",Supply chain/ inventory management,2025,21
Media and telecom ,Human resources,2025,28
Media and telecom ,IT,2025,38
Media and telecom ,Knowledge management,2025,34
Media and telecom ,Manufacturing,2025,5
Media and telecom ,Marketing and sales,2025,45
Media and telecom ,Product and/or service development,2025,32
Media and telecom ,"Risk, legal, and compliance",2025,17
Media and telecom ,Service operations,2025,46
Media and telecom ,Software engineering,2025,33
Media and telecom ,Strategy and corporate finance,2025,17
Media and telecom ,Supply chain/ inventory management,2025,6
Technology ,Human resources,2025,28
Technology ,IT,2025,56
Technology ,Knowledge management,2025,46
Technology ,Manufacturing,2025,9
Technology ,Marketing and sales,2025,49
Technology ,Product and/or service development,2025,49
Technology ,"Risk, legal, and compliance",2025,18
Technology ,Service operations,2025,45
Technology ,Software engineering,2025,58
Technology ,Strategy and corporate finance,2025,20
Technology ,Supply chain/ inventory management,2025,10
