Years since the introduction of first mass-market product,ai_all_rps,pc_all_cps,internet_all_cps,internet_all_itu
0,,,,9.237088
1,,,,16.41935
2,45.50616,,,21.6164
3,52.5874,19.71732,,30.0932
4,,,,35.84872
5,,,,43.07916
6,,,60.62044,49.08083
7,,,,58.7854
8,,31.10322,66.08569,61.69712
9,,,,64.75826
10,,,,67.96806
11,,,,68.93119
12,,39.88058,69.99887,75
13,,,,74
14,,,76.33546,71
15,,,,71.69
16,,51.94424,,69.72946
17,,,,74.7
18,,,,71.4
19,,,,73
20,,65.54967,,74.5542
21,,,,85.54442
22,,69.27082,,87.27489
23,,,,88.4989
24,,,,89.43028
25,,,,90.62047
