state_2digit,perc_ai_job_post_on_total_ai_job_us
AL,0.00894333307856617
AK,0.0026790778501405914
AZ,0.01903613536986158
AR,0.008228308922616485
CA,0.17184816145265555
CO,0.02181276222580684
CT,0.010562445442952938
DE,0.006839492664717027
FL,0.039479188874988434
GA,0.03058714444895874
HI,0.003591211337406926
ID,0.00705269255369218
IL,0.04513703121165922
IN,0.011586207173975132
IA,0.006695683305644165
KS,0.009320455523687312
KY,0.006686632366961258
LA,0.006426166464864256
ME,0.005156018069696251
MD,0.019368003121568184
MA,0.03949427377279328
MI,0.018938586364056913
MN,0.01773983981849851
MS,0.004420880716673438
MO,0.012783948059679879
MT,0.003429300100968249
NE,0.0055703499294026786
NV,0.006737921019497733
NH,0.004533514620282952
NJ,0.028855398180962458
NM,0.0058800931643288425
NY,0.06640271447707699
NC,0.029216430068425097
ND,0.0032301794499442864
OH,0.024685932427703113
OK,0.006281351445937737
OR,0.012552646293338911
PA,0.028444083300816998
RI,0.005476823563012635
SC,0.008955400996810046
SD,0.0034966793111632266
TN,0.013843913545433701
TX,0.08100288423246028
UT,0.010090790971588097
VT,0.004477197668478195
VA,0.04218743086088506
WA,0.03934040781518385
DC,0.01366390043162921
WV,0.0033257171360416425
WI,0.011263390360951435
WY,0.0026418684355553053
