Year,Percentage of US states’ job postings in AI,Label
2010,0.002732,Texas
2011,0.002662,Texas
2012,0.003099,Texas
2013,0.002874,Texas
2014,0.003441,Texas
2015,0.003982,Texas
2016,0.005201,Texas
2017,0.00741,Texas
2018,0.010079,Texas
2019,0.011814,Texas
2020,0.01198,Texas
2021,0.014382,Texas
2022,0.015175,Texas
2023,0.011055,Texas
2024,0.018598,Texas
2025,0.023757,Texas
2010,0.004714,New York
2011,0.003843,New York
2012,0.00534,New York
2013,0.005116,New York
2014,0.006034,New York
2015,0.008486,New York
2016,0.009454,New York
2017,0.01386,New York
2018,0.017894,New York
2019,0.020948,New York
2020,0.017796,New York
2021,0.019568,New York
2022,0.020671,New York
2023,0.014317,New York
2024,0.0219,New York
2025,0.032126,New York
2010,0.006043,Washington
2011,0.006818,Washington
2012,0.008727,Washington
2013,0.008598,Washington
2014,0.008658,Washington
2015,0.009861,Washington
2016,0.012673,Washington
2017,0.017957,Washington
2018,0.021782,Washington
2019,0.020767,Washington
2020,0.021425,Washington
2021,0.020272,Washington
2022,0.024849,Washington
2023,0.016458,Washington
2024,0.032712,Washington
2025,0.040348,Washington
2010,0.005919,California
2011,0.006763,California
2012,0.009904,California
2013,0.006889,California
2014,0.008025,California
2015,0.011004,California
2016,0.012372,California
2017,0.016265,California
2018,0.020203,California
2019,0.022583,California
2020,0.019361,California
2021,0.0212,California
2022,0.022063,California
2023,0.015988,California
2024,0.026705,California
2025,0.042635,California
