Year,AI job postings (% of all job postings),Label
2014,,Croatia
2015,,Croatia
2016,,Croatia
2017,,Croatia
2018,0.001697312588401697,Croatia
2019,0.001053193089959103,Croatia
2020,0.0014183853407958291,Croatia
2021,0.001070583725257361,Croatia
2022,0.001246118577664002,Croatia
2023,0.001552213241984692,Croatia
2024,0.002246515754228315,Croatia
2025,0.003796664409253755,Croatia
2014,0.001396781521315621,New Zealand
2015,0.0016566825997889382,New Zealand
2016,0.001372948823882398,New Zealand
2017,0.0016162630191993979,New Zealand
2018,0.001943496041721382,New Zealand
2019,0.001896949656234966,New Zealand
2020,0.00245804202848911,New Zealand
2021,0.003688241091596932,New Zealand
2022,0.004356223515691376,New Zealand
2023,0.004366272603698975,New Zealand
2024,0.005457444806513276,New Zealand
2025,0.008122379713808588,New Zealand
2014,,Austria
2015,,Austria
2016,,Austria
2017,,Austria
2018,0.0048120253114432125,Austria
2019,0.0053068186607627636,Austria
2020,0.005108747286579316,Austria
2021,0.004723515424088059,Austria
2022,0.0069221379261499745,Austria
2023,0.007078427576509427,Austria
2024,0.007692685910794055,Austria
2025,0.008416534396443878,Austria
2014,,France
2015,,France
2016,,France
2017,,France
2018,0.0035056310963002602,France
2019,0.003544774818876713,France
2020,0.004463002136973512,France
2021,0.006923530902469282,France
2022,0.008566496411589295,France
2023,0.007389364312734017,France
2024,0.007623889210863733,France
2025,0.009880101394186097,France
2014,,Netherlands
2015,,Netherlands
2016,,Netherlands
2017,,Netherlands
2018,0.00768830625791791,Netherlands
2019,0.007495394266869337,Netherlands
2020,0.008527898519144508,Netherlands
2021,0.01027413347343515,Netherlands
2022,0.008193605670375054,Netherlands
2023,0.008101318320318435,Netherlands
2024,0.0088843812762127,Netherlands
2025,0.01040811264122077,Netherlands
2014,,Germany
2015,,Germany
2016,,Germany
2017,,Germany
2018,0.0053823174775214115,Germany
2019,0.005858046482282893,Germany
2020,0.005080079003217379,Germany
2021,0.008247575086751028,Germany
2022,0.009679177172763504,Germany
2023,0.008113590538603357,Germany
2024,0.008380592953335481,Germany
2025,0.01129878383858955,Germany
2014,0.00043118899065410854,Italy
2015,0.000717766261891871,Italy
2016,0.001215334713101088,Italy
2017,0.001354030778827612,Italy
2018,0.0029866161825169877,Italy
2019,0.004555019394748629,Italy
2020,0.005139701176723006,Italy
2021,0.0055000856583330175,Italy
2022,0.006894798579883134,Italy
2023,0.006122594055564862,Italy
2024,0.007089902237265519,Italy
2025,0.013286460233109181,Italy
2014,,Belgium
2015,,Belgium
2016,,Belgium
2017,,Belgium
2018,0.0064441303880303545,Belgium
2019,0.0060849307190307,Belgium
2020,0.008602126078583018,Belgium
2021,0.008604676065316308,Belgium
2022,0.00855405979632365,Belgium
2023,0.009152604382538076,Belgium
2024,0.012248662592700849,Belgium
2025,0.01356756761002955,Belgium
2014,,Mexico
2015,,Mexico
2016,,Mexico
2017,,Mexico
2018,,Mexico
2019,,Mexico
2020,0.0033564395312311217,Mexico
2021,0.004181752424531899,Mexico
2022,0.006485988011680927,Mexico
2023,0.006850552710535356,Mexico
2024,0.005430181536608448,Mexico
2025,0.013831783786376659,Mexico
2014,,Switzerland
2015,,Switzerland
2016,,Switzerland
2017,,Switzerland
2018,0.008354103577894506,Switzerland
2019,0.009899740334679746,Switzerland
2020,0.010472848930380281,Switzerland
2021,0.01126801610633938,Switzerland
2022,0.009527554486910894,Switzerland
2023,0.007470551956180578,Switzerland
2024,0.010252401084902909,Switzerland
2025,0.01594003698869678,Switzerland
2014,0.002351429353082386,Australia
2015,0.0026475705921863353,Australia
2016,0.0029612853729816552,Australia
2017,0.004279315499838705,Australia
2018,0.005984389860958046,Australia
2019,0.006753556326579777,Australia
2020,0.007135912513666884,Australia
2021,0.01003090685608129,Australia
2022,0.009733120936937342,Australia
2023,0.007989642181631033,Australia
2024,0.01058599075038106,Australia
2025,0.01776029809601254,Australia
