Country,Gender,ai_talent_representation_perc,Year
Argentina,Female,0.28298,2016
Argentina,Male,0.71702,2016
Argentina,Female,0.28293,2017
Argentina,Male,0.71707,2017
Argentina,Female,0.28114,2018
Argentina,Male,0.71886,2018
Argentina,Female,0.27741,2019
Argentina,Male,0.72259,2019
Argentina,Female,0.27834,2020
Argentina,Male,0.72166,2020
Argentina,Female,0.27756,2021
Argentina,Male,0.72244,2021
Argentina,Female,0.28287,2022
Argentina,Male,0.71713,2022
Argentina,Female,0.28371,2023
Argentina,Male,0.71629,2023
Argentina,Female,0.29085,2024
Argentina,Male,0.70915,2024
Argentina,Female,0.29463,2025
Argentina,Male,0.70537,2025
Australia,Female,0.29179,2016
Australia,Male,0.70821,2016
Australia,Female,0.2954,2017
Australia,Male,0.7046,2017
Australia,Female,0.29834,2018
Australia,Male,0.70166,2018
Australia,Female,0.30309,2019
Australia,Male,0.69691,2019
Australia,Female,0.30531,2020
Australia,Male,0.69469,2020
Australia,Female,0.31062,2021
Australia,Male,0.68938,2021
Australia,Female,0.31518,2022
Australia,Male,0.68482,2022
Australia,Female,0.31799,2023
Australia,Male,0.68201,2023
Australia,Female,0.32153,2024
Australia,Male,0.67847,2024
Australia,Female,0.3226,2025
Australia,Male,0.6774,2025
Austria,Female,0.21035,2016
Austria,Male,0.78965,2016
Austria,Female,0.2156,2017
Austria,Male,0.7844,2017
Austria,Female,0.22039,2018
Austria,Male,0.77961,2018
Austria,Female,0.22625,2019
Austria,Male,0.77375,2019
Austria,Female,0.22953,2020
Austria,Male,0.77047,2020
Austria,Female,0.23652,2021
Austria,Male,0.76348,2021
Austria,Female,0.24431,2022
Austria,Male,0.75569,2022
Austria,Female,0.25086,2023
Austria,Male,0.74914,2023
Austria,Female,0.25796,2024
Austria,Male,0.74204,2024
Austria,Female,0.26349,2025
Austria,Male,0.73651,2025
Belgium,Female,0.23963,2016
Belgium,Male,0.76037,2016
Belgium,Female,0.24335,2017
Belgium,Male,0.75665,2017
Belgium,Female,0.24868,2018
Belgium,Male,0.75132,2018
Belgium,Female,0.24943,2019
Belgium,Male,0.75057,2019
Belgium,Female,0.24937,2020
Belgium,Male,0.75063,2020
Belgium,Female,0.25233,2021
Belgium,Male,0.74767,2021
Belgium,Female,0.25441,2022
Belgium,Male,0.74559,2022
Belgium,Female,0.25582,2023
Belgium,Male,0.74418,2023
Belgium,Female,0.25917,2024
Belgium,Male,0.74083,2024
Belgium,Female,0.26075,2025
Belgium,Male,0.73925,2025
Brazil,Female,0.23909,2016
Brazil,Male,0.76091,2016
Brazil,Female,0.23191,2017
Brazil,Male,0.76809,2017
Brazil,Female,0.22799,2018
Brazil,Male,0.77201,2018
Brazil,Female,0.22507,2019
Brazil,Male,0.77493,2019
Brazil,Female,0.22552,2020
Brazil,Male,0.77448,2020
Brazil,Female,0.22699,2021
Brazil,Male,0.77301,2021
Brazil,Female,0.22965,2022
Brazil,Male,0.77035,2022
Brazil,Female,0.22896,2023
Brazil,Male,0.77104,2023
Brazil,Female,0.2318,2024
Brazil,Male,0.7682,2024
Brazil,Female,0.23413,2025
Brazil,Male,0.76587,2025
Canada,Female,0.31308,2016
Canada,Male,0.68692,2016
Canada,Female,0.31262,2017
Canada,Male,0.68738,2017
Canada,Female,0.31421,2018
Canada,Male,0.68579,2018
Canada,Female,0.31595,2019
Canada,Male,0.68405,2019
Canada,Female,0.31665,2020
Canada,Male,0.68335,2020
Canada,Female,0.32002,2021
Canada,Male,0.67998,2021
Canada,Female,0.32387,2022
Canada,Male,0.67613,2022
Canada,Female,0.32525,2023
Canada,Male,0.67475,2023
Canada,Female,0.32691,2024
Canada,Male,0.67309,2024
Canada,Female,0.32719,2025
Canada,Male,0.67281,2025
Chile,Female,0.26578,2016
Chile,Male,0.73422,2016
Chile,Female,0.25338,2017
Chile,Male,0.74662,2017
Chile,Female,0.24562,2018
Chile,Male,0.75438,2018
Chile,Female,0.24471,2019
Chile,Male,0.75529,2019
Chile,Female,0.24116,2020
Chile,Male,0.75884,2020
Chile,Female,0.24127,2021
Chile,Male,0.75873,2021
Chile,Female,0.24338,2022
Chile,Male,0.75662,2022
Chile,Female,0.2373,2023
Chile,Male,0.7627,2023
Chile,Female,0.23669,2024
Chile,Male,0.76331,2024
Chile,Female,0.23734,2025
Chile,Male,0.76266,2025
Costa Rica,Female,0.28796,2016
Costa Rica,Male,0.71204,2016
Costa Rica,Female,0.28588,2017
Costa Rica,Male,0.71412,2017
Costa Rica,Female,0.28979,2018
Costa Rica,Male,0.71021,2018
Costa Rica,Female,0.29761,2019
Costa Rica,Male,0.70239,2019
Costa Rica,Female,0.30546,2020
Costa Rica,Male,0.69454,2020
Costa Rica,Female,0.31665,2021
Costa Rica,Male,0.68335,2021
Costa Rica,Female,0.32929,2022
Costa Rica,Male,0.67071,2022
Costa Rica,Female,0.33379,2023
Costa Rica,Male,0.66621,2023
Costa Rica,Female,0.32602,2024
Costa Rica,Male,0.67398,2024
Costa Rica,Female,0.3266,2025
Costa Rica,Male,0.6734,2025
Croatia,Female,0.32469,2016
Croatia,Male,0.67531,2016
Croatia,Female,0.32686,2017
Croatia,Male,0.67314,2017
Croatia,Female,0.32533,2018
Croatia,Male,0.67467,2018
Croatia,Female,0.33452,2019
