date,q5_estimate
1/1/21,-2.454308449
2/1/21,-4.003228975
3/1/21,-4.826304426
4/1/21,-3.983433259
5/1/21,-5.217211198
6/1/21,-4.702336078
7/1/21,-3.931840895
8/1/21,-0.771125676
9/1/21,0.578005083
10/1/21,-0.60936956
11/1/21,-1.78798451
12/1/21,-2.985793785
1/1/22,-2.260669704
2/1/22,-4.028963597
3/1/22,-4.615165441
4/1/22,-6.176003386
5/1/22,-5.185367713
6/1/22,-1.926005394
7/1/22,-2.603240633
8/1/22,-1.517523652
9/1/22,-0.525501866
10/1/22,0.731753866
11/1/22,0
12/1/22,-0.91368313
1/1/23,-0.215373849
2/1/23,-1.584142526
3/1/23,-0.884499297
4/1/23,-0.122661169
5/1/23,0.673722095
6/1/23,1.28352596
7/1/23,0.882125962
8/1/23,0.252440953
9/1/23,0.360678201
10/1/23,0.70127179
11/1/23,0.330507697
12/1/23,-0.724911906
1/1/24,-0.819958564
2/1/24,-2.141021035
3/1/24,-2.266422294
4/1/24,-2.389011644
5/1/24,-2.508829854
6/1/24,-1.831237559
7/1/24,-0.125911419
8/1/24,-2.499056372
9/1/24,-4.260403305
10/1/24,-4.792638202
11/1/24,-6.244961031
12/1/24,-7.699418655
1/1/25,-8.64746274
2/1/25,-9.276201655
3/1/25,-11.7187763
4/1/25,-12.10301847
5/1/25,-14.38440824
6/1/25,-12.8115516
7/1/25,-13.46914712
8/1/25,-13.17898482
9/1/25,-12.64182479
10/1/25,-13.34341926
11/1/25,-14.78295167
12/1/25,-15.66504791
