organization_type,change,perc_respondents
Overall,Decrease by >20%,4
Overall,Decrease by 11%–20%,8
Overall,Decrease by 3%–10%,20
Overall,Little or no change,43
Overall,Increase by 3%–10%,9
Overall,Increase by 11%–20%,3
Overall,Increase by >20%,2
Overall,Don’t know,12
Organizations with >=$1 billion revenues,Decrease by >20%,2
Organizations with >=$1 billion revenues,Decrease by 11%–20%,8
Organizations with >=$1 billion revenues,Decrease by 3%–10%,25
Organizations with >=$1 billion revenues,Little or no change,38
Organizations with >=$1 billion revenues,Increase by 3%–10%,9
Organizations with >=$1 billion revenues,Increase by 11%–20%,2
Organizations with >=$1 billion revenues,Increase by >20%,1
Organizations with >=$1 billion revenues,Don’t know,14
Organizations with <$1 billion revenues,Decrease by >20%,5
Organizations with <$1 billion revenues,Decrease by 11%–20%,8
Organizations with <$1 billion revenues,Decrease by 3%–10%,17
Organizations with <$1 billion revenues,Little or no change,47
Organizations with <$1 billion revenues,Increase by 3%–10%,8
Organizations with <$1 billion revenues,Increase by 11%–20%,3
Organizations with <$1 billion revenues,Increase by >20%,2
Organizations with <$1 billion revenues,Don’t know,10
