Share of AI Job Postings,Generative AI skill,Label
0.626225823,Generative artificial intelligence,2025
0.174588069,Large language modeling,2025
0.100725977,Prompt engineering,2025
0.057140138,Retrieval augmented generation,2025
0.00861022,Text to speech (TTS),2025
0.007119292,Generative adversarial networks,2025
0.006611743,Multimodal models,2025
0.003249225,Variational autoencoders,2025
0.003185781,Context engineering,2025
0.003167655,Stable Diffusion,2025
0.660816886,Generative artificial intelligence,2024
0.191974276,Large language modeling,2024
0.062012378,Prompt engineering,2024
0.029080902,Retrieval augmented generation,2024
0.010553797,Text to speech (TTS),2024
0.012821805,Generative adversarial networks,2024
0.006209302,Multimodal models,2024
0.006300022,Variational autoencoders,2024
9.07E-05,Context engineering,2024
0.006330262,Stable Diffusion,2024
