Number of AI Job Postings,Generative AI skill,Label
151,Agentic AI,2024
1310,AI agents,2024
5535,ChatGPT,2024
5430,Conversational AI,2024
1416,Microsoft Copilot,2024
1635,Multi-agent systems,2024
2316,Chatbot,2024
194,LangGraph,2024
549,Microsoft Copilot Studio,2024
192,Agentic systems,2024
16541,Agentic AI,2025
15217,AI agents,2025
14376,ChatGPT,2025
6976,Conversational AI,2025
6395,Microsoft Copilot,2025
5461,Multi-agent systems,2025
4596,Chatbot,2025
4294,LangGraph,2025
3366,Microsoft Copilot Studio,2025
2850,Agentic systems,2025
