Skill share AI Job Postings,Generative AI skill,Label
0.188994641,Agentic AI,2025
0.173866843,AI agents,2025
0.164257721,ChatGPT,2025
0.079706585,Conversational AI,2025
0.073068178,Microsoft Copilot,2025
0.062396453,Multi-agent systems,2025
0.052513111,Chatbot,2025
0.049062511,LangGraph,2025
0.038459341,Microsoft Copilot Studio,2025
0.032563613,Agentic systems,2025
0.006890258,Agentic AI,2024
0.059776409,AI agents,2024
0.252566735,ChatGPT,2024
0.247775496,Conversational AI,2024
0.064613279,Microsoft Copilot,2024
0.074606434,Multi-agent systems,2024
0.10568104,Chatbot,2024
0.008852384,LangGraph,2024
0.025051335,Microsoft Copilot Studio,2024
0.008761123,Agentic systems,2024
