year,application,amount
2021,Transportation and logistics,60
2021,Hospitality,11
2021,Medical and Healthcare,10
2021,Professional Cleaning,6
2021,Agriculture,7
2022,Transportation and logistics,86
2022,Hospitality,25
2022,Medical and Healthcare,9
2022,Professional Cleaning,7
2022,Agriculture,8
2023,Transportation and logistics,113
2023,Hospitality,54
2023,Medical and Healthcare,6
2023,Professional Cleaning,12
2023,Agriculture,20
2024,Transportation and logistics,103
2024,Hospitality,42
2024,Professional Cleaning,26
2024,Agriculture,19
2024,Medical and Healthcare,17
