Agent,Submitter,Models Used,Overall Score,Overall Cost
Asta v0,Ai2,Claude Sonnet 4 (2025-05) + 6,0.53,3.4
ReAct,Ai2,GPT-5 (2025-08),0.44,0.31
ReAct,Ai2,Claude Sonnet 4 (2025-05),0.401,0.4
ReAct,Ai2,o3 (2025-04),0.394,0.16
Smolagents Coder,Ai2,Claude Sonnet 4 (2025-05),0.381,1.02
Smolagents Coder,Ai2,GPT-5 (2025-08),0.375,0.13
Smolagents Coder,Ai2,GPT-4.1 (2025-04),0.328,0.32
ReAct,Ai2,GPT-4.1 (2025-04),0.316,0.2
ReAct,Ai2,GPT-5 Mini (2025-08),0.316,0.04
Smolagents Coder,Ai2,GPT-5 Mini (2025-08),0.291,0.07
Smolagents Coder,Ai2,Gemini 2.5 Flash (2024-05),0.264,0.71
ReAct,Ai2,Claude 3.5 Haiku (2024-10),0.219,0.04
ReAct,Ai2,GPT-4o (2024-08),0.162,0.12
ReAct,Ai2,Gemini 2.5 Flash (2024-05),0.153,0.71
Smolagents Coder,Ai2,GPT-4o (2024-08),0.136,0.36
Smolagents Coder,Ai2,Claude 3.5 Haiku (2024-10),0.127,0.3
Smolagents Coder,Ai2,Llama 4 Scout 17B (unpinned),0.111,0.11
ReAct,Ai2,Llama 4 Scout 17B (unpinned),0.079,0.68
