Model Name,Date of Release,Model Number of Parameters,Release Year
AlphaFold 2,7/15/21,93000000,2021
RoseTTAFold,7/15/21,14000000,2021
OpenFold,11/22/22,93000000,2022
RoseTTAFold All Atom,3/7/24,83000000,2024
AlphaFold 3,5/8/24,370000000,2024
ESM3,7/1/24,98000000000,2024
HelixFold3,8/15/24,370000000,2024
Chai-1,9/2/24,440000000,2024
Boltz-1,11/19/24,610000000,2024
Boltz-2,6/14/25,521000000,2025
Protenix-Tiny,7/7/25,109000000,2025
Protenix-Mini,7/17/25,135000000,2025
SimpleFold,7/23/25,3000000000,2025
RosettaFold-3,8/15/25,730000000,2025
Protenix v0.7,11/5/25,370000000,2025
SeedFold,12/30/25,923000000,2025
