Group.final2,total_pct
Physicians + GPT-4,53.75
Physicians + GPT-4,90.74074074074075
Physicians + GPT-4,60.82089552238806
Physicians + GPT-4,88.88888888888889
Physicians + GPT-4,80.43478260869566
Physicians + GPT-4,35.0
Physicians + GPT-4,48.14814814814815
Physicians + GPT-4,35.82089552238806
Physicians + GPT-4,31.94444444444444
Physicians + GPT-4,56.52173913043478
Physicians + Resources,23.125
Physicians + Resources,48.14814814814815
Physicians + Resources,20.14925373134328
Physicians + Resources,18.05555555555556
Physicians + Resources,65.21739130434783
Physicians + Resources,52.5
Physicians + Resources,36.11111111111111
Physicians + Resources,63.04347826086956
Physicians + GPT-4,19.40298507462687
Physicians + GPT-4,29.16666666666667
GPT-4 Only,32.5
GPT-4 Only,51.85185185185185
GPT-4 Only,43.28358208955224
GPT-4 Only,38.88888888888889
GPT-4 Only,65.21739130434783
Physicians + Resources,22.5
Physicians + Resources,43.28358208955224
Physicians + Resources,30.55555555555556
Physicians + Resources,60.8695652173913
Physicians + GPT-4,81.48148148148148
Physicians + GPT-4,41.66666666666666
Physicians + GPT-4,89.1304347826087
Physicians + Resources,33.75
Physicians + Resources,66.66666666666667
Physicians + Resources,34.32835820895522
Physicians + Resources,50.0
Physicians + Resources,63.04347826086956
Physicians + GPT-4,41.25
Physicians + GPT-4,62.96296296296296
Physicians + GPT-4,19.40298507462687
Physicians + Resources,22.5
Physicians + Resources,55.55555555555556
Physicians + Resources,29.85074626865672
Physicians + GPT-4,12.5
Physicians + GPT-4,57.4074074074074
Physicians + GPT-4,33.20895522388059
Physicians + GPT-4,45.83333333333334
Physicians + GPT-4,54.34782608695652
Physicians + GPT-4,27.5
Physicians + GPT-4,62.96296296296296
Physicians + GPT-4,28.35820895522388
Physicians + GPT-4,30.55555555555556
Physicians + GPT-4,60.8695652173913
Physicians + Resources,13.75
Physicians + Resources,35.18518518518518
Physicians + Resources,21.64179104477612
Physicians + Resources,27.77777777777778
Physicians + Resources,43.47826086956522
Physicians + GPT-4,47.5
Physicians + GPT-4,61.11111111111111
Physicians + GPT-4,47.38805970149254
Physicians + GPT-4,29.16666666666667
Physicians + GPT-4,69.56521739130434
Physicians + Resources,56.25
Physicians + Resources,44.02985074626866
Physicians + Resources,25.0
Physicians + Resources,50.0
Physicians + GPT-4,37.03703703703704
Physicians + GPT-4,27.23880597014925
Physicians + GPT-4,47.82608695652174
Physicians + Resources,48.14814814814815
Physicians + Resources,40.27777777777778
Physicians + Resources,47.82608695652174
Physicians + GPT-4,37.03703703703704
Physicians + GPT-4,36.56716417910448
Physicians + GPT-4,44.44444444444444
Physicians + Resources,22.5
Physicians + Resources,25.92592592592593
Physicians + Resources,23.13432835820895
Physicians + Resources,20.83333333333333
Physicians + Resources,60.8695652173913
Physicians + Resources,30.0
Physicians + Resources,29.1044776119403
Physicians + Resources,23.61111111111111
Physicians + Resources,43.47826086956522
Physicians + GPT-4,47.5
Physicians + GPT-4,38.88888888888889
Physicians + GPT-4,69.56521739130434
Physicians + GPT-4,40.0
Physicians + GPT-4,74.07407407407408
Physicians + GPT-4,45.8955223880597
Physicians + GPT-4,43.05555555555556
Physicians + GPT-4,33.75
Physicians + GPT-4,41.04477611940298
Physicians + GPT-4,60.8695652173913
Physicians + Resources,41.25
Physicians + Resources,50.0
Physicians + Resources,22.38805970149254
