year,type,num_cleared_devices
2011,Cardiovascular,0
2012,Cardiovascular,1
2013,Cardiovascular,1
2014,Cardiovascular,0
2015,Cardiovascular,1
2016,Cardiovascular,4
2017,Cardiovascular,7
2018,Cardiovascular,10
2019,Cardiovascular,15
2020,Cardiovascular,8
2021,Cardiovascular,12
2022,Cardiovascular,14
2023,Cardiovascular,21
2024,Cardiovascular,15
2025,Cardiovascular,20
2011,Gastroenterology-Urology,0
2012,Gastroenterology-Urology,0
2013,Gastroenterology-Urology,0
2014,Gastroenterology-Urology,0
2015,Gastroenterology-Urology,0
2016,Gastroenterology-Urology,0
2017,Gastroenterology-Urology,0
2018,Gastroenterology-Urology,1
2019,Gastroenterology-Urology,0
2020,Gastroenterology-Urology,0
2021,Gastroenterology-Urology,3
2022,Gastroenterology-Urology,1
2023,Gastroenterology-Urology,5
2024,Gastroenterology-Urology,5
2025,Gastroenterology-Urology,6
2011,Neurology,0
2012,Neurology,0
2013,Neurology,0
2014,Neurology,1
2015,Neurology,1
2016,Neurology,1
2017,Neurology,0
2018,Neurology,6
2019,Neurology,5
2020,Neurology,1
2021,Neurology,3
2022,Neurology,2
2023,Neurology,11
2024,Neurology,15
2025,Neurology,15
2011,Ophthalmic,0
2012,Ophthalmic,0
2013,Ophthalmic,0
2014,Ophthalmic,0
2015,Ophthalmic,0
2016,Ophthalmic,0
2017,Ophthalmic,0
2018,Ophthalmic,1
2019,Ophthalmic,1
2020,Ophthalmic,1
2021,Ophthalmic,1
2022,Ophthalmic,2
2023,Ophthalmic,1
2024,Ophthalmic,2
2025,Ophthalmic,1
2011,Orthopedic,0
2012,Orthopedic,0
2013,Orthopedic,0
2014,Orthopedic,0
2015,Orthopedic,0
2016,Orthopedic,0
2017,Orthopedic,0
2018,Orthopedic,0
2019,Orthopedic,0
2020,Orthopedic,0
2021,Orthopedic,0
2022,Orthopedic,0
2023,Orthopedic,1
2024,Orthopedic,1
2025,Orthopedic,3
2011,Pathology,0
2012,Pathology,0
2013,Pathology,0
2014,Pathology,0
2015,Pathology,0
2016,Pathology,0
2017,Pathology,0
2018,Pathology,0
2019,Pathology,0
2020,Pathology,0
2021,Pathology,1
2022,Pathology,0
2023,Pathology,1
2024,Pathology,1
2025,Pathology,3
2011,Radiology,1
2012,Radiology,2
2013,Radiology,0
2014,Radiology,5
2015,Radiology,1
2016,Radiology,11
2017,Radiology,16
2018,Radiology,40
2019,Radiology,51
2020,Radiology,99
2021,Radiology,110
2022,Radiology,138
2023,Radiology,178
2024,Radiology,183
2025,Radiology,198
