fig_id,entity_type,entity_name,year,variable,value
fig_6.1.1,category,Future  prediction,,fig_6.1.1_Number of publications,220
fig_6.1.1,category,Protein structure prediction,,fig_6.1.1_Number of publications,648
fig_6.1.1,category,Protein-drug interactions,,fig_6.1.1_Number of publications,1127
fig_6.1.1,category,Synthetic protein design,,fig_6.1.1_Number of publications,264
fig_6.1.1,category,Future  prediction,,fig_6.1.1_Number of publications,402
fig_6.1.1,category,Protein structure prediction,,fig_6.1.1_Number of publications,922
fig_6.1.1,category,Protein-drug interactions,,fig_6.1.1_Number of publications,2097
fig_6.1.1,category,Synthetic protein design,,fig_6.1.1_Number of publications,434
fig_6.1.2,global,Global,2025,fig_6.1.2_Number of publications,3311
fig_6.1.2,global,Global,2024,fig_6.1.2_Number of publications,2100
fig_6.1.2,global,Global,2023,fig_6.1.2_Number of publications,1470
fig_6.1.2,global,Global,2022,fig_6.1.2_Number of publications,1229
fig_6.1.2,global,Global,2021,fig_6.1.2_Number of publications,1083
fig_6.1.2,global,Global,2020,fig_6.1.2_Number of publications,720
fig_6.1.2,global,Global,2019,fig_6.1.2_Number of publications,612
fig_6.1.2,global,Global,2018,fig_6.1.2_Number of publications,431
fig_6.1.5,model,ProGen,2020,fig_6.1.5_Parameters (Billions),1.2
fig_6.1.5,model,ProtBert,2020,fig_6.1.5_Parameters (Billions),0.42
fig_6.1.5,model,ProGen2,2022,fig_6.1.5_Parameters (Billions),6.4
fig_6.1.5,model,ProtT5,2022,fig_6.1.5_Parameters (Billions),1.2
fig_6.1.5,model,ESM2,2023,fig_6.1.5_Parameters (Billions),15
fig_6.1.5,model,OpenCRISPR-1 (proseLM),2024,fig_6.1.5_Parameters (Billions),6.4
fig_6.1.5,model,ESM3,2024,fig_6.1.5_Parameters (Billions),98
fig_6.1.5,model,SHIVER,2025,fig_6.1.5_Parameters (Billions),0.043
fig_6.1.5,model,PoET-2,2025,fig_6.1.5_Parameters (Billions),0.182
fig_6.1.5,model,Proteina,2025,fig_6.1.5_Parameters (Billions),0.4
fig_6.1.5,model,ProGen3,2025,fig_6.1.5_Parameters (Billions),46
fig_6.1.5,model,MSA-Pairformer,2025,fig_6.1.5_Parameters (Billions),0.111
fig_6.1.5,model,E1,2025,fig_6.1.5_Parameters (Billions),0.6
fig_6.1.5,model,MSA-Transformer,2025,fig_6.1.5_Parameters (Billions),0.1
fig_6.1.6,model,MSA-Transformer,2021,fig_6.1.6_Parameters,100M
fig_6.1.6,model,MSA-Transformer,2021,fig_6.1.6_Average Spearman,0.45
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Parameters,150M
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Average Spearman,0.387
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Parameters,3B
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Average Spearman,0.406
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Parameters,650M
fig_6.1.6,model,ESM-2,2022,fig_6.1.6_Average Spearman,0.414
fig_6.1.6,model,PoET,2023,fig_6.1.6_Parameters,200M
fig_6.1.6,model,PoET,2023,fig_6.1.6_Average Spearman,0.47
fig_6.1.6,model,ESMC,2024,fig_6.1.6_Parameters,600M
fig_6.1.6,model,ESMC,2024,fig_6.1.6_Average Spearman,0.405
fig_6.1.6,model,ESMC,2024,fig_6.1.6_Parameters,300M
fig_6.1.6,model,ESMC,2024,fig_6.1.6_Average Spearman,0.406
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Parameters,150M
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Average Spearman,0.401
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Parameters,300M
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Average Spearman,0.416
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Parameters,600M
fig_6.1.6,model,E1 (Single Sequence),2025,fig_6.1.6_Average Spearman,0.42
fig_6.1.6,model,MSA Pairformer,2025,fig_6.1.6_Parameters,111M
fig_6.1.6,model,MSA Pairformer,2025,fig_6.1.6_Average Spearman,0.45
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Parameters,150M
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Average Spearman,0.473
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Parameters,300M
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Average Spearman,0.475
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Parameters,600M
fig_6.1.6,model,E1 (Retrieval Augmented),2025,fig_6.1.6_Average Spearman,0.477
