Country,Percent Female,Group,Education level abbreviated
AVERAGE,0.22,Bachelor’s,B
AVERAGE,0.29,Master’s,M
AVERAGE,0.2,Short-cycle,SC
AVERAGE,0.29,PhD,PhD
Australia,0.25,Short-cycle,SC
Australia,0.32,PhD,PhD
Australia,0.33,Master’s,M
Australia,0.23,Bachelor’s,B
Austria,0.22,PhD,PhD
Austria,0.11,Short-cycle,SC
Austria,0.2,Bachelor’s,B
Austria,0.23,Master’s,M
Belgium,0.27,PhD,PhD
Belgium,0.19,Master’s,M
Belgium,0.16,Bachelor’s,B
Belgium,0.1,Short-cycle,SC
Brazil,0.19,PhD,PhD
Brazil,0.18,Master’s,M
Brazil,,Short-cycle,SC
Brazil,0.17,Bachelor’s,B
Bulgaria,,Short-cycle,SC
Bulgaria,0.44,PhD,PhD
Bulgaria,0.37,Master’s,M
Bulgaria,0.32,Bachelor’s,B
Canada,0.24,PhD,PhD
Canada,0.3,Short-cycle,SC
Canada,0.22,Bachelor’s,B
Canada,0.34,Master’s,M
Chile,0.25,PhD,PhD
Chile,0.2,Master’s,M
Chile,0.13,Short-cycle,SC
Chile,0.12,Bachelor’s,B
Colombia,0.28,Master’s,M
Colombia,0.17,Bachelor’s,B
Colombia,0.27,Short-cycle,SC
Colombia,0.21,PhD,PhD
Costa Rica,0.22,Master’s,M
Costa Rica,0.25,Short-cycle,SC
Costa Rica,0.5,PhD,PhD
Costa Rica,0.21,Bachelor’s,B
Croatia,0.25,PhD,PhD
Croatia,0.22,Bachelor’s,B
Croatia,0.25,Master’s,M
Croatia,,Short-cycle,SC
Czech Republic,0.19,Bachelor’s,B
Czech Republic,0.19,Master’s,M
Czech Republic,0.17,PhD,PhD
Czech Republic,,Short-cycle,SC
Denmark,0.39,Master’s,M
Denmark,0.13,Short-cycle,SC
Denmark,,PhD,PhD
Denmark,0.19,Bachelor’s,B
Estonia,0.27,Bachelor’s,B
Estonia,0.47,Master’s,M
Estonia,0.36,PhD,PhD
Estonia,,Short-cycle,SC
Finland,,Short-cycle,SC
Finland,0.28,PhD,PhD
Finland,0.31,Master’s,M
Finland,0.25,Bachelor’s,B
France,0.09,Short-cycle,SC
France,0.23,Master’s,M
France,0.26,PhD,PhD
France,0.18,Bachelor’s,B
Germany,0.21,Bachelor’s,B
Germany,0.21,PhD,PhD
Germany,0.26,Master’s,M
Germany,,Short-cycle,SC
Greece,0.26,PhD,PhD
Greece,0.45,Master’s,M
