University students (% of total) who have used GenAI ,Country,Year
0.53,Indonesia,2023
0.49,Malaysia,2023
0.62,Saudi Arabia,2023
0.62,Spain,2023
0.52,Brazil,2023
0.23,South Korea,2023
0.44,India,2023
0.63,Kenya,2023
0.33,Mexico,2023
0.33,South Africa,2023
0.54,Canada,2023
0.33,Australia,2023
0.3,Turkey,2023
0.2,United States,2023
0.19,United Kingdom,2023
0.95,Indonesia,2025
0.9,Malaysia,2025
0.89,Saudi Arabia,2025
0.87,Spain,2025
0.84,Brazil,2025
0.84,South Korea,2025
0.84,India,2025
0.83,Kenya,2025
0.83,Mexico,2025
0.81,South Africa,2025
0.79,Canada,2025
0.77,Australia,2025
0.68,Turkey,2025
0.67,United States,2025
0.67,United Kingdom,2025
