Ratio,Race/Ethnicity,Label
2.47,Asian,Associate’s
1.07,Two or more,Associate’s
0.91,White,Associate’s
0.85,Hispanic,Associate’s
0.79,Black,Associate’s
0.75,NHPI,Associate’s
0.76,Native American/Alaskan,Associate’s
2.67,Asian,Bachelor’s
1.09,Two or more,Bachelor’s
0.83,White,Bachelor’s
0.76,Hispanic,Bachelor’s
0.74,Black,Bachelor’s
0.63,NHPI,Bachelor’s
0.45,Native American/Alaskan,Bachelor’s
3.09,Asian,Master’s
1.07,Two or more,Master’s
0.82,White,Master’s
0.72,Hispanic,Master’s
0.61,Black,Master’s
0.4,NHPI,Master’s
0.4,Native American/Alaskan,Master’s
