Year,Number of new AI PhD graduates,Label
2010,76,Industry
2011,64,Industry
2012,101,Industry
2013,74,Industry
2014,85,Industry
2015,77,Industry
2016,134,Industry
2017,116,Industry
2018,162,Industry
2019,180,Industry
2020,153,Industry
2021,195,Industry
2022,280,Industry
2023,278,Industry
2024,288,Industry
2010,6,Government
2011,7,Government
2012,6,Government
2013,7,Government
2014,8,Government
2015,4,Government
2016,4,Government
2017,2,Government
2018,3,Government
2019,4,Government
2020,5,Government
2021,2,Government
2022,3,Government
2023,7,Government
2024,9,Government
2010,72,Academia
2011,63,Academia
2012,47,Academia
2013,51,Academia
2014,43,Academia
2015,42,Academia
2016,63,Academia
2017,60,Academia
2018,73,Academia
2019,65,Academia
2020,61,Academia
2021,84,Academia
2022,79,Academia
2023,103,Academia
2024,145,Academia
2010,154,2010–24
2011,134,2010–24
2012,154,2010–24
2013,132,2010–24
2014,136,2010–24
2015,123,2010–24
2016,201,2010–24
2017,178,2010–24
2018,238,2010–24
2019,249,2010–24
2020,219,2010–24
2021,281,2010–24
2022,362,2010–24
2023,388,2010–24
2024,442,2010–24
