Country,Country Code,Status
Andorra,AND,CS mandatory in primary and/or secondary school
Armenia,ARM,CS mandatory in primary and/or secondary school
Australia,AUS,CS mandatory in primary and/or secondary school
Austria,AUT,CS mandatory in primary and/or secondary school
Azerbaijan,AZE,CS mandatory in primary and/or secondary school
Bangladesh,BGD,CS mandatory in primary and/or secondary school
Belarus,BLR,CS mandatory in primary and/or secondary school
Bhutan,BTN,CS mandatory in primary and/or secondary school
Brazil,BRA,CS mandatory in primary and/or secondary school
Bulgaria,BGR,CS mandatory in primary and/or secondary school
Cabo Verde,CPV,CS mandatory in primary and/or secondary school
Channel Islands,CHI,CS mandatory in primary and/or secondary school
China,CHN,CS mandatory in primary and/or secondary school
Costa Rica,CRI,CS mandatory in primary and/or secondary school
Czech Republic,CZE,CS mandatory in primary and/or secondary school
Denmark,DNK,CS mandatory in primary and/or secondary school
Ecuador,ECU,CS mandatory in primary and/or secondary school
Estonia,EST,CS mandatory in primary and/or secondary school
Finland,FIN,CS mandatory in primary and/or secondary school
France,FRA,CS mandatory in primary and/or secondary school
French Polynesia,PYF,CS mandatory in primary and/or secondary school
Ghana,GHA,CS mandatory in primary and/or secondary school
Gibraltar,GIB,CS mandatory in primary and/or secondary school
"Hong Kong SAR, China",HKG,CS mandatory in primary and/or secondary school
Iceland,ISL,CS mandatory in primary and/or secondary school
Isle of Man,IMN,CS mandatory in primary and/or secondary school
Japan,JPN,CS mandatory in primary and/or secondary school
South Korea (Rep.of Korea),KOR,CS mandatory in primary and/or secondary school
Latvia,LVA,CS mandatory in primary and/or secondary school
Liechtenstein,LIE,CS mandatory in primary and/or secondary school
Lithuania,LTU,CS mandatory in primary and/or secondary school
Luxembourg,LUX,CS mandatory in primary and/or secondary school
Malaysia,MYS,CS mandatory in primary and/or secondary school
Malta,MLT,CS mandatory in primary and/or secondary school
Moldova,MDA,CS mandatory in primary and/or secondary school
Monaco,MCO,CS mandatory in primary and/or secondary school
Morocco,MAR,CS mandatory in primary and/or secondary school
New Zealand,NZL,CS mandatory in primary and/or secondary school
North Macedonia,MKD,CS mandatory in primary and/or secondary school
Pakistan,PAK,CS mandatory in primary and/or secondary school
Panama,PAN,CS mandatory in primary and/or secondary school
Poland,POL,CS mandatory in primary and/or secondary school
Qatar,QAT,CS mandatory in primary and/or secondary school
Romania,ROU,CS mandatory in primary and/or secondary school
Russian Federation,RUS,CS mandatory in primary and/or secondary school
Rwanda,RWA,CS mandatory in primary and/or secondary school
Serbia,SRB,CS mandatory in primary and/or secondary school
Singapore,SGP,CS mandatory in primary and/or secondary school
Slovak Republic,SVK,CS mandatory in primary and/or secondary school
Slovenia,SVN,CS mandatory in primary and/or secondary school
South Africa,ZAF,CS mandatory in primary and/or secondary school
Spain,ESP,CS mandatory in primary and/or secondary school
St. Lucia,LCA,CS mandatory in primary and/or secondary school
St. Martin (French part),MAF,CS mandatory in primary and/or secondary school
Sweden,SWE,CS mandatory in primary and/or secondary school
Switzerland,CHE,CS mandatory in primary and/or secondary school
"Taiwan, China",TWN,CS mandatory in primary and/or secondary school
Thailand,THA,CS mandatory in primary and/or secondary school
Turkey,TUR,CS mandatory in primary and/or secondary school
Turks and Caicos Islands,TCA,CS mandatory in primary and/or secondary school
Ukraine,UKR,CS mandatory in primary and/or secondary school
United Arab Emirates,ARE,CS mandatory in primary and/or secondary school
United Kingdom of Great Britin and Northern Ireland,GBR,CS mandatory in primary and/or secondary school
Uzbekistan,UZB,CS mandatory in primary and/or secondary school
Vietnam,VNM,CS mandatory in primary and/or secondary school
Zambia,ZMB,CS mandatory in primary and/or secondary school
Canada,CAN,CS available everywhere as an elective course
Georgia,GEO,CS available everywhere as an elective course
Greece,GRC,CS available everywhere as an elective course
Greenland,GRL,CS available everywhere as an elective course
Mauritius,MUS,CS available everywhere as an elective course
San Marino,SMR,CS available everywhere as an elective course
Afghanistan,AFG,CS courses available in some schools or districts
Albania,ALB,CS courses available in some schools or districts
Algeria,DZA,CS courses available in some schools or districts
American Samoa,ASM,CS courses available in some schools or districts
Angola,AGO,CS courses available in some schools or districts
Antigua and Barbuda,ATG,CS courses available in some schools or districts
Argentina,ARG,CS courses available in some schools or districts
Aruba,ABW,CS courses available in some schools or districts
"Bahamas, The",BHS,CS courses available in some schools or districts
Bahrain,BHR,CS courses available in some schools or districts
Barbados,BRB,CS courses available in some schools or districts
Belgium,BEL,CS courses available in some schools or districts
Belize,BLZ,CS courses available in some schools or districts
Benin,BEN,CS courses available in some schools or districts
Bolivia,BOL,CS courses available in some schools or districts
Bosnia and Herzegovina,BIH,CS courses available in some schools or districts
Botswana,BWA,CS courses available in some schools or districts
British Virgin Islands,VGB,CS courses available in some schools or districts
Brunei Darussalam,BRN,CS courses available in some schools or districts
Burkina Faso,BFA,CS courses available in some schools or districts
Burundi,BDI,CS courses available in some schools or districts
Cambodia,KHM,CS courses available in some schools or districts
Cameroon,CMR,CS courses available in some schools or districts
Cayman Islands,CYM,CS courses available in some schools or districts
Chile,CHL,CS courses available in some schools or districts
Colombia,COL,CS courses available in some schools or districts
Comoros,COM,CS courses available in some schools or districts
"Congo, Dem. Rep.",COD,CS courses available in some schools or districts
"Congo, Rep.",COG,CS courses available in some schools or districts
Côte d'Ivoire,CIV,CS courses available in some schools or districts
Croatia,HRV,CS courses available in some schools or districts
Cuba,CUB,CS courses available in some schools or districts
Curaçao,CUW,CS courses available in some schools or districts
Cyprus,CYP,CS courses available in some schools or districts
Djibouti,DJI,CS courses available in some schools or districts
Dominica,DMA,CS courses available in some schools or districts
Dominican Republic,DOM,CS courses available in some schools or districts
"Egypt, Arab Rep.",EGY,CS courses available in some schools or districts
El Salvador,SLV,CS courses available in some schools or districts
Faroe Islands,FRO,CS courses available in some schools or districts
Fiji,FJI,CS courses available in some schools or districts
Gabon,GAB,CS courses available in some schools or districts
"Gambia, The",GMB,CS courses available in some schools or districts
Germany,DEU,CS courses available in some schools or districts
Guatemala,GTM,CS courses available in some schools or districts
Guinea,GIN,CS courses available in some schools or districts
Guinea-Bissau,GNB,CS courses available in some schools or districts
Guyana,GUY,CS courses available in some schools or districts
Haiti,HTI,CS courses available in some schools or districts
Honduras,HND,CS courses available in some schools or districts
India,IND,CS courses available in some schools or districts
Indonesia,IDN,CS courses available in some schools or districts
"Iran, Islamic Rep.",IRN,CS courses available in some schools or districts
Iraq,IRQ,CS courses available in some schools or districts
Ireland,IRL,CS courses available in some schools or districts
Israel,ISR,CS courses available in some schools or districts
Italy,ITA,CS courses available in some schools or districts
Jamaica,JAM,CS courses available in some schools or districts
Kazakhstan,KAZ,CS courses available in some schools or districts
Kenya,KEN,CS courses available in some schools or districts
Kiribati,KIR,CS courses available in some schools or districts
"North Korea, (Dem. People's Rep. of Korea)",PRK,CS courses available in some schools or districts
Kosovo,XKX,CS courses available in some schools or districts
Kuwait,KWT,CS courses available in some schools or districts
Kyrgyz Republic,KGZ,CS courses available in some schools or districts
Lao PDR,LAO,CS courses available in some schools or districts
Lebanon,LBN,CS courses available in some schools or districts
Lesotho,LSO,CS courses available in some schools or districts
Liberia,LBR,CS courses available in some schools or districts
Libya,LBY,CS courses available in some schools or districts
Madagascar,MDG,CS courses available in some schools or districts
Malawi,MWI,CS courses available in some schools or districts
Maldives,MDV,CS courses available in some schools or districts
Mali,MLI,CS courses available in some schools or districts
Marshall Islands,MHL,CS courses available in some schools or districts
Mexico,MEX,CS courses available in some schools or districts
