code,percent_students,name
AK,,Alaska
AZ,0.038,Arizona
AR,0.251,Arkansas
CA,0.053,California
CO,,Colorado
CT,0.075,Connecticut
DE,,Delaware
DC,,District of Columbia
FL,0.023,Florida
GA,0.08,Georgia
HI,0.03,Hawaii
ID,0.018,Idaho
IL,0.06,Illinois
IN,0.056,Indiana
IA,0.052,Iowa
KS,0.03,Kansas
KY,0.086,Kentucky
LA,0.026,Louisiana
ME,,Maine
MD,0.167,Maryland
MA,0.079,Massachusetts
MI,,Michigan
MN,0.018,Minnesota
MS,0.109,Mississippi
MO,0.029,Missouri
MT,0.037,Montana
NE,0.05,Nebraska
NV,,Nevada
NH,,New Hampshire
NJ,0.088,New Jersey
NM,0.033,New Mexico
NY,0.031,New York
NC,0.057,North Carolina
ND,0.07,North Dakota
OH,0.03,Ohio
OK,0.076,Oklahoma
OR,0.069,Oregon
PA,0.035,Pennsylvania
RI,0.184,Rhode Island
SC,0.257,South Carolina
SD,,South Dakota
TN,0.132,Tennessee
TX,0.051,Texas
UT,0.114,Utah
VT,0.031,Vermont
VA,0.049,Virginia
WA,0.05,Washington
WV,0.027,West Virginia
WI,0.032,Wisconsin
WY,0.067,Wyoming
