Country,Skills Diffusion Index (AI Engineering skills),Skills Diffusion Index (AI Literacy skills),Year
Argentina,2.51952,,2016
Argentina,4.08665,,2017
Argentina,6.04934,,2018
Argentina,8.87307,,2019
Argentina,13.30612,,2020
Argentina,15.12744,,2021
Argentina,17.29018,,2022
Argentina,33.68029,1.32576,2023
Argentina,61.9838,16.49589,2024
Argentina,96.73973,48.4202,2025
Australia,1.98816,,2016
Australia,2.87151,,2017
Australia,4.1036,,2018
Australia,6.19463,,2019
Australia,8.46728,,2020
Australia,9.91706,,2021
Australia,11.27705,,2022
Australia,19.69582,2.49239,2023
Australia,32.88712,27.7642,2024
Australia,45.1165,69.97947,2025
Austria,1.90955,,2016
Austria,2.56001,,2017
Austria,3.31537,,2018
Austria,4.73158,,2019
Austria,5.61455,,2020
Austria,6.63116,,2021
Austria,7.25668,,2022
Austria,11.61864,,2023
Austria,16.71927,6.87283,2024
Austria,23.15869,16.77362,2025
Belgium,2.06436,,2016
Belgium,2.90656,,2017
Belgium,3.83088,,2018
Belgium,5.34566,,2019
Belgium,7.04035,,2020
Belgium,8.05984,,2021
Belgium,9.33692,,2022
Belgium,14.6812,,2023
Belgium,22.12086,6.60738,2024
Belgium,28.51838,16.9444,2025
Brazil,1.86724,,2016
Brazil,2.98232,,2017
Brazil,4.39224,,2018
Brazil,6.43053,,2019
Brazil,7.86858,,2020
Brazil,8.70438,,2021
Brazil,9.41811,,2022
Brazil,16.96995,4.15069,2023
Brazil,32.78761,61.35044,2024
Brazil,51.21757,167.31347,2025
Canada,1.83504,,2016
Canada,2.722,,2017
Canada,4.041,,2018
Canada,5.99843,,2019
Canada,8.32456,,2020
Canada,10.13852,,2021
Canada,12.73719,,2022
Canada,21.51189,6.69013,2023
Canada,30.86588,58.76745,2024
Canada,39.05152,142.96793,2025
Chile,1.82303,,2016
Chile,3.33793,,2017
Chile,4.48523,,2018
Chile,7.81805,,2019
Chile,11.40316,,2020
Chile,13.48443,,2021
Chile,16.09093,,2022
Chile,32.1722,,2023
Chile,61.50546,6.03155,2024
Chile,99.84325,27.17377,2025
Costa Rica,1.97868,,2019
Costa Rica,3.13947,,2020
Costa Rica,4.08774,,2021
Costa Rica,5.0718,,2022
Costa Rica,11.65062,,2023
Costa Rica,23.06763,2.89714,2024
Costa Rica,39.55473,11.59371,2025
Croatia,1.65192,,2016
Croatia,2.28229,,2017
Croatia,3.18689,,2018
Croatia,4.42198,,2019
Croatia,5.83151,,2020
Croatia,6.58333,,2021
Croatia,7.00535,,2022
Croatia,10.85678,,2023
Croatia,15.596,1.13005,2024
Croatia,20.36437,3.05539,2025
Cyprus,1.28963,,2017
Cyprus,1.87523,,2018
Cyprus,2.97383,,2019
Cyprus,3.96351,,2020
Cyprus,4.72352,,2021
Cyprus,6.21059,,2022
Cyprus,10.07069,,2023
Cyprus,15.7448,1.08654,2024
Cyprus,23.10188,2.33396,2025
Czech Republic,1.33756,,2016
Czech Republic,1.62898,,2017
Czech Republic,2.03835,,2018
Czech Republic,2.61489,,2019
Czech Republic,3.15322,,2020
Czech Republic,3.46305,,2021
Czech Republic,3.78808,,2022
Czech Republic,5.96921,,2023
Czech Republic,9.05648,6.01003,2024
Czech Republic,12.7372,16.41945,2025
Denmark,1.64013,,2016
Denmark,2.5273,,2017
Denmark,3.62911,,2018
Denmark,5.33203,,2019
Denmark,7.16769,,2020
Denmark,8.39641,,2021
Denmark,9.79829,,2022
Denmark,15.32925,,2023
Denmark,22.93447,10.00347,2024
Denmark,30.84606,20.72658,2025
Estonia,1.46853,,2017
Estonia,2.14625,,2018
Estonia,3.30544,,2019
Estonia,4.13458,,2020
Estonia,5.45809,,2021
Estonia,5.97988,,2022
Estonia,8.79634,,2023
Estonia,12.87359,,2024
Estonia,17.53038,2.72035,2025
Finland,1.88933,,2016
Finland,2.87407,,2017
Finland,4.17039,,2018
Finland,6.03546,,2019
Finland,7.67488,,2020
Finland,8.63265,,2021
Finland,9.54389,,2022
Finland,14.96648,,2023
Finland,22.86314,6.72879,2024
Finland,31.23495,17.0329,2025
France,1.74454,,2016
France,2.34022,,2017
France,3.08772,,2018
France,4.27112,,2019
France,5.24378,,2020
France,6.0104,,2021
France,7.30396,,2022
France,11.78673,5.13705,2023
France,15.50635,35.75699,2024
France,19.29161,91.72581,2025
Germany,1.70371,,2016
Germany,2.24821,,2017
Germany,3.1682,,2018
Germany,4.33585,,2019
Germany,5.493,,2020
Germany,6.36882,,2021
Germany,7.45454,,2022
Germany,10.90715,8.41177,2023
Germany,14.18029,59.42402,2024
Germany,17.5,153.2035,2025
Greece,1.77453,,2016
Greece,2.48665,,2017
Greece,3.16535,,2018
Greece,4.24283,,2019
Greece,5.28825,,2020
Greece,6.12327,,2021
Greece,7.08158,,2022
Greece,11.56096,,2023
Greece,16.15528,5.8179,2024
Greece,21.09864,21.69645,2025
Hong Kong,2.56958,,2016
Hong Kong,4.7433,,2017
Hong Kong,8.2444,,2018
Hong Kong,11.56896,,2019
Hong Kong,14.97646,,2020
Hong Kong,18.23584,,2021
Hong Kong,20.54805,,2022
Hong Kong,35.39917,1.08116,2023
Hong Kong,58.91686,9.21551,2024
Hong Kong,81.90685,20.45518,2025
Iceland,0.99693,,2019
Iceland,1.38501,,2020
Iceland,1.56985,,2021
Iceland,1.87742,,2022
Iceland,2.72794,,2023
Iceland,3.68323,,2024
Iceland,5.1671,,2025
India*,1.88741,,2016
India*,3.21433,,2017
India*,6.08693,,2018
India*,9.98918,,2019
India*,15.4408,,2020
