Year,Cumulative number of AI supercomputers,Label
2010,0,South Asia
2011,0,South Asia
2012,0,South Asia
2013,0,South Asia
2014,0,South Asia
2015,0,South Asia
2016,0,South Asia
2017,0,South Asia
2018,0,South Asia
2019,0,South Asia
2020,1,South Asia
2021,1,South Asia
2022,1,South Asia
2023,2,South Asia
2024,2,South Asia
2025,2,South Asia
2010,0,Middle East and North Africa
2011,0,Middle East and North Africa
2012,0,Middle East and North Africa
2013,0,Middle East and North Africa
2014,0,Middle East and North Africa
2015,0,Middle East and North Africa
2016,0,Middle East and North Africa
2017,0,Middle East and North Africa
2018,0,Middle East and North Africa
2019,1,Middle East and North Africa
2020,1,Middle East and North Africa
2021,1,Middle East and North Africa
2022,1,Middle East and North Africa
2023,1,Middle East and North Africa
2024,2,Middle East and North Africa
2025,3,Middle East and North Africa
2010,0,Latin America and Caribbean
2011,0,Latin America and Caribbean
2012,0,Latin America and Caribbean
2013,0,Latin America and Caribbean
2014,0,Latin America and Caribbean
2015,0,Latin America and Caribbean
2016,0,Latin America and Caribbean
2017,0,Latin America and Caribbean
2018,0,Latin America and Caribbean
2019,3,Latin America and Caribbean
2020,5,Latin America and Caribbean
2021,6,Latin America and Caribbean
2022,7,Latin America and Caribbean
2023,8,Latin America and Caribbean
2024,8,Latin America and Caribbean
2025,8,Latin America and Caribbean
2010,0,East Asia and Pacific
2011,0,East Asia and Pacific
2012,0,East Asia and Pacific
2013,0,East Asia and Pacific
2014,1,East Asia and Pacific
2015,1,East Asia and Pacific
2016,1,East Asia and Pacific
2017,4,East Asia and Pacific
2018,7,East Asia and Pacific
2019,8,East Asia and Pacific
2020,11,East Asia and Pacific
2021,14,East Asia and Pacific
2022,18,East Asia and Pacific
2023,19,East Asia and Pacific
2024,24,East Asia and Pacific
2025,27,East Asia and Pacific
2010,0,North America
2011,0,North America
2012,1,North America
2013,1,North America
2014,2,North America
2015,3,North America
2016,3,North America
2017,3,North America
2018,6,North America
2019,11,North America
2020,17,North America
2021,26,North America
2022,30,North America
2023,32,North America
2024,40,North America
2025,41,North America
2010,0,Europe and Central Asia
2011,0,Europe and Central Asia
2012,0,Europe and Central Asia
2013,0,Europe and Central Asia
2014,0,Europe and Central Asia
2015,0,Europe and Central Asia
2016,2,Europe and Central Asia
2017,3,Europe and Central Asia
2018,3,Europe and Central Asia
2019,5,Europe and Central Asia
2020,10,Europe and Central Asia
2021,23,Europe and Central Asia
2022,28,Europe and Central Asia
2023,33,Europe and Central Asia
2024,41,Europe and Central Asia
2025,44,Europe and Central Asia
2010,1,China
2011,2,China
2012,3,China
2013,4,China
2014,4,China
2015,4,China
2016,5,China
2017,6,China
2018,18,China
2019,27,China
2020,41,China
2021,49,China
2022,54,China
2023,64,China
2024,84,China
2025,85,China
