Region,quarter,flow_type,flow_n
East Asia and Pacific,1/1/16,Inflow,37.90625125
East Asia and Pacific,1/1/16,Outflow,39.12499875
East Asia and Pacific,4/1/16,Inflow,39.34722083
East Asia and Pacific,4/1/16,Outflow,40.7708325
East Asia and Pacific,7/1/16,Inflow,40.36111083
East Asia and Pacific,7/1/16,Outflow,43.11111083
East Asia and Pacific,10/1/16,Inflow,39.90277833
East Asia and Pacific,10/1/16,Outflow,45.5486125
East Asia and Pacific,1/1/17,Inflow,41.67361
East Asia and Pacific,1/1/17,Outflow,46.87500083
East Asia and Pacific,4/1/17,Inflow,43.381945
East Asia and Pacific,4/1/17,Outflow,47.74305667
East Asia and Pacific,7/1/17,Inflow,45.29861167
East Asia and Pacific,7/1/17,Outflow,48.26389
East Asia and Pacific,10/1/17,Inflow,48.23611083
East Asia and Pacific,10/1/17,Outflow,49.57639083
East Asia and Pacific,1/1/18,Inflow,48.72916583
East Asia and Pacific,1/1/18,Outflow,50.91666583
East Asia and Pacific,4/1/18,Inflow,51.118055
East Asia and Pacific,4/1/18,Outflow,52.31250083
East Asia and Pacific,7/1/18,Inflow,53.6597225
East Asia and Pacific,7/1/18,Outflow,55.20138917
East Asia and Pacific,10/1/18,Inflow,54.32638917
East Asia and Pacific,10/1/18,Outflow,55.3333325
East Asia and Pacific,1/1/19,Inflow,55.63194417
East Asia and Pacific,1/1/19,Outflow,56.40972083
East Asia and Pacific,4/1/19,Inflow,54.631945
East Asia and Pacific,4/1/19,Outflow,57.40277917
East Asia and Pacific,7/1/19,Inflow,54.10416667
East Asia and Pacific,7/1/19,Outflow,56.67361167
East Asia and Pacific,10/1/19,Inflow,54.1597225
East Asia and Pacific,10/1/19,Outflow,56.68750167
East Asia and Pacific,1/1/20,Inflow,52.8125
East Asia and Pacific,1/1/20,Outflow,55.77083417
East Asia and Pacific,4/1/20,Inflow,47.868055
East Asia and Pacific,4/1/20,Outflow,51.375
East Asia and Pacific,7/1/20,Inflow,40.7152775
East Asia and Pacific,7/1/20,Outflow,45.12499833
East Asia and Pacific,10/1/20,Inflow,36.02083333
East Asia and Pacific,10/1/20,Outflow,41.80555583
East Asia and Pacific,1/1/21,Inflow,32.61805667
East Asia and Pacific,1/1/21,Outflow,38.52083417
East Asia and Pacific,4/1/21,Inflow,32.34722167
East Asia and Pacific,4/1/21,Outflow,38.1111125
East Asia and Pacific,7/1/21,Inflow,31.44444417
East Asia and Pacific,7/1/21,Outflow,38.7083325
East Asia and Pacific,10/1/21,Inflow,30.57638833
East Asia and Pacific,10/1/21,Outflow,37.91666667
East Asia and Pacific,1/1/22,Inflow,28.81944333
East Asia and Pacific,1/1/22,Outflow,37.28472167
East Asia and Pacific,4/1/22,Inflow,27.64583333
East Asia and Pacific,4/1/22,Outflow,36.9027775
East Asia and Pacific,7/1/22,Inflow,28.40277667
East Asia and Pacific,7/1/22,Outflow,36.1041675
East Asia and Pacific,10/1/22,Inflow,27.85416667
East Asia and Pacific,10/1/22,Outflow,34.25694333
East Asia and Pacific,1/1/23,Inflow,27.15972167
East Asia and Pacific,1/1/23,Outflow,32.6666675
East Asia and Pacific,4/1/23,Inflow,26.15277917
East Asia and Pacific,4/1/23,Outflow,30.5902775
East Asia and Pacific,7/1/23,Inflow,24.10416667
East Asia and Pacific,7/1/23,Outflow,28.89583417
East Asia and Pacific,10/1/23,Inflow,22.99305583
East Asia and Pacific,10/1/23,Outflow,27.4652775
East Asia and Pacific,1/1/24,Inflow,21.5763875
East Asia and Pacific,1/1/24,Outflow,25.61111083
East Asia and Pacific,4/1/24,Inflow,19.86111
East Asia and Pacific,4/1/24,Outflow,24.31944417
East Asia and Pacific,7/1/24,Inflow,17.9097225
East Asia and Pacific,7/1/24,Outflow,21.59027917
East Asia and Pacific,10/1/24,Inflow,15.36805583
East Asia and Pacific,10/1/24,Outflow,18.76388917
Latin America and Caribbean,1/1/16,Inflow,32
Latin America and Caribbean,1/1/16,Outflow,48.29167
Latin America and Caribbean,4/1/16,Inflow,32.55555667
Latin America and Caribbean,4/1/16,Outflow,46.22222333
Latin America and Caribbean,7/1/16,Inflow,33.41666667
Latin America and Caribbean,7/1/16,Outflow,45.13888667
Latin America and Caribbean,10/1/16,Inflow,33.91666667
Latin America and Caribbean,10/1/16,Outflow,46.44444333
Latin America and Caribbean,1/1/17,Inflow,32.75
Latin America and Caribbean,1/1/17,Outflow,49.22222
Latin America and Caribbean,4/1/17,Inflow,31.13889
Latin America and Caribbean,4/1/17,Outflow,47.86111
Latin America and Caribbean,7/1/17,Inflow,30
Latin America and Caribbean,7/1/17,Outflow,49.30555333
Latin America and Caribbean,10/1/17,Inflow,28.55555667
Latin America and Caribbean,10/1/17,Outflow,51.41667
Latin America and Caribbean,1/1/18,Inflow,28
Latin America and Caribbean,1/1/18,Outflow,51.5
Latin America and Caribbean,4/1/18,Inflow,28.11111
Latin America and Caribbean,4/1/18,Outflow,54.83333333
Latin America and Caribbean,7/1/18,Inflow,27.91666667
Latin America and Caribbean,7/1/18,Outflow,56.5
Latin America and Caribbean,10/1/18,Inflow,26.55555667
Latin America and Caribbean,10/1/18,Outflow,57.69444333
Latin America and Caribbean,1/1/19,Inflow,24.13889
Latin America and Caribbean,1/1/19,Outflow,57.69444333
Latin America and Caribbean,4/1/19,Inflow,23.83333333
Latin America and Caribbean,4/1/19,Outflow,58.69444333
Latin America and Caribbean,7/1/19,Inflow,23.16666667
Latin America and Caribbean,7/1/19,Outflow,58.44444333
Latin America and Caribbean,10/1/19,Inflow,25
Latin America and Caribbean,10/1/19,Outflow,58.47222333
Latin America and Caribbean,1/1/20,Inflow,24.77777667
Latin America and Caribbean,1/1/20,Outflow,56.72222
Latin America and Caribbean,4/1/20,Inflow,21.91666667
Latin America and Caribbean,4/1/20,Outflow,51.27778
Latin America and Caribbean,7/1/20,Inflow,20.22222333
Latin America and Caribbean,7/1/20,Outflow,45.11111333
Latin America and Caribbean,10/1/20,Inflow,19.13888667
Latin America and Caribbean,10/1/20,Outflow,40.44444667
Latin America and Caribbean,1/1/21,Inflow,17.88888667
Latin America and Caribbean,1/1/21,Outflow,37.86111
Latin America and Caribbean,4/1/21,Inflow,18.63888667
Latin America and Caribbean,4/1/21,Outflow,40.11111333
Latin America and Caribbean,7/1/21,Inflow,18.66666667
Latin America and Caribbean,7/1/21,Outflow,44.80555667
Latin America and Caribbean,10/1/21,Inflow,18.16666667
Latin America and Caribbean,10/1/21,Outflow,50.91667
Latin America and Caribbean,1/1/22,Inflow,17.22222333
Latin America and Caribbean,1/1/22,Outflow,54.80555667
Latin America and Caribbean,4/1/22,Inflow,15.86111
Latin America and Caribbean,4/1/22,Outflow,55.80555667
Latin America and Caribbean,7/1/22,Inflow,14.44444667
Latin America and Caribbean,7/1/22,Outflow,54.44444333
Latin America and Caribbean,10/1/22,Inflow,13.69444333
Latin America and Caribbean,10/1/22,Outflow,47.08333333
Latin America and Caribbean,1/1/23,Inflow,12.58333333
Latin America and Caribbean,1/1/23,Outflow,40.41667
Latin America and Caribbean,4/1/23,Inflow,12.63889
Latin America and Caribbean,4/1/23,Outflow,36.36111333
Latin America and Caribbean,7/1/23,Inflow,12.63889
Latin America and Caribbean,7/1/23,Outflow,34.33333333
Latin America and Caribbean,10/1/23,Inflow,11.72222
Latin America and Caribbean,10/1/23,Outflow,31.22222333
Latin America and Caribbean,1/1/24,Inflow,11.97222
Latin America and Caribbean,1/1/24,Outflow,27.63889
Latin America and Caribbean,4/1/24,Inflow,11.72222
Latin America and Caribbean,4/1/24,Outflow,24.16666667
Latin America and Caribbean,7/1/24,Inflow,11.19444667
Latin America and Caribbean,7/1/24,Outflow,19.5
Latin America and Caribbean,10/1/24,Inflow,10.41667
Latin America and Caribbean,10/1/24,Outflow,17.27778
North America,1/1/16,Inflow,92.75
North America,1/1/16,Outflow,106.583335
North America,4/1/16,Inflow,96
North America,4/1/16,Outflow,110
North America,7/1/16,Inflow,100.8055567
North America,7/1/16,Outflow,110.61111
North America,10/1/16,Inflow,105.13889
North America,10/1/16,Outflow,111.3333333
North America,1/1/17,Inflow,114.5833333
North America,1/1/17,Outflow,107.9444467
North America,4/1/17,Inflow,119.75
North America,4/1/17,Outflow,110.9722233
North America,7/1/17,Inflow,127.25
North America,7/1/17,Outflow,113.63889
North America,10/1/17,Inflow,136.25
North America,10/1/17,Outflow,114.4166667
North America,1/1/18,Inflow,141.5
North America,1/1/18,Outflow,115.8055567
North America,4/1/18,Inflow,147.4444433
North America,4/1/18,Outflow,114.6111133
North America,7/1/18,Inflow,157.11111
North America,7/1/18,Outflow,115.0833333
North America,10/1/18,Inflow,162.9444433
North America,10/1/18,Outflow,117.2500033
North America,1/1/19,Inflow,162.63889
North America,1/1/19,Outflow,120.7500033
North America,4/1/19,Inflow,166.9166667
North America,4/1/19,Outflow,123.7222233
North America,7/1/19,Inflow,168.6944433
North America,7/1/19,Outflow,128.5277767
North America,10/1/19,Inflow,171.3333333
North America,10/1/19,Outflow,128.3055567
North America,1/1/20,Inflow,176.3333333
North America,1/1/20,Outflow,127.1666633
North America,4/1/20,Inflow,162.6666667
North America,4/1/20,Outflow,119.1666667
North America,7/1/20,Inflow,143.5
North America,7/1/20,Outflow,104.25
North America,10/1/20,Inflow,127.3055533
North America,10/1/20,Outflow,98.25
North America,1/1/21,Inflow,117.0555567
North America,1/1/21,Outflow,94.33333
North America,4/1/21,Inflow,122
North America,4/1/21,Outflow,97.16667
North America,7/1/21,Inflow,129.5833333
North America,7/1/21,Outflow,104.86111
North America,10/1/21,Inflow,135.13889
North America,10/1/21,Outflow,110.0833367
North America,1/1/22,Inflow,132.1666667
North America,1/1/22,Outflow,108.5277767
North America,4/1/22,Inflow,129.1388867
North America,4/1/22,Outflow,106.6388867
North America,7/1/22,Inflow,124.4444433
North America,7/1/22,Outflow,102.8055567
North America,10/1/22,Inflow,119.11111
North America,10/1/22,Outflow,97.94444333
North America,1/1/23,Inflow,114.1666667
North America,1/1/23,Outflow,94.80555667
North America,4/1/23,Inflow,110.8055567
North America,4/1/23,Outflow,90.27778
North America,7/1/23,Inflow,102.9444433
North America,7/1/23,Outflow,83.47222333
North America,10/1/23,Inflow,91.36111
North America,10/1/23,Outflow,77.86111333
North America,1/1/24,Inflow,83.08333333
North America,1/1/24,Outflow,72.83333333
North America,4/1/24,Inflow,73.16667
North America,4/1/24,Outflow,71.27778
North America,7/1/24,Inflow,61.72222
North America,7/1/24,Outflow,66.63889
North America,10/1/24,Inflow,51.5
North America,10/1/24,Outflow,58.86111
Europe and Central Asia,1/1/16,Inflow,73.3083325
Europe and Central Asia,1/1/16,Outflow,75.025
Europe and Central Asia,4/1/16,Inflow,75.81388933
Europe and Central Asia,4/1/16,Outflow,77.31111133
Europe and Central Asia,7/1/16,Inflow,78.01944467
Europe and Central Asia,7/1/16,Outflow,78.638888
Europe and Central Asia,10/1/16,Inflow,80.92222233
Europe and Central Asia,10/1/16,Outflow,80.37222133
Europe and Central Asia,1/1/17,Inflow,82.80277767
Europe and Central Asia,1/1/17,Outflow,82.87777767
Europe and Central Asia,4/1/17,Inflow,84.26666733
Europe and Central Asia,4/1/17,Outflow,84.786111
Europe and Central Asia,7/1/17,Inflow,86.76111067
Europe and Central Asia,7/1/17,Outflow,87.11388867
Europe and Central Asia,10/1/17,Inflow,90.30833433
Europe and Central Asia,10/1/17,Outflow,89.538889
Europe and Central Asia,1/1/18,Inflow,93.01388833
Europe and Central Asia,1/1/18,Outflow,89.813888
Europe and Central Asia,4/1/18,Inflow,95.50277767
Europe and Central Asia,4/1/18,Outflow,90.80277633
Europe and Central Asia,7/1/18,Inflow,97.11666733
Europe and Central Asia,7/1/18,Outflow,91.90000067
Europe and Central Asia,10/1/18,Inflow,97.38611133
Europe and Central Asia,10/1/18,Outflow,91.508334
Europe and Central Asia,1/1/19,Inflow,97.70277833
Europe and Central Asia,1/1/19,Outflow,91.74166633
Europe and Central Asia,4/1/19,Inflow,98.07500033
Europe and Central Asia,4/1/19,Outflow,91.68611067
Europe and Central Asia,7/1/19,Inflow,98.619444
Europe and Central Asia,7/1/19,Outflow,91.83333433
Europe and Central Asia,10/1/19,Inflow,98.92222267
Europe and Central Asia,10/1/19,Outflow,92.81111133
Europe and Central Asia,1/1/20,Inflow,96.247222
Europe and Central Asia,1/1/20,Outflow,90.830556
Europe and Central Asia,4/1/20,Inflow,88.92499933
Europe and Central Asia,4/1/20,Outflow,84.08055567
Europe and Central Asia,7/1/20,Inflow,81.07222167
Europe and Central Asia,7/1/20,Outflow,75.04166667
Europe and Central Asia,10/1/20,Inflow,75.933333
Europe and Central Asia,10/1/20,Outflow,67.93888933
Europe and Central Asia,1/1/21,Inflow,72.975001
Europe and Central Asia,1/1/21,Outflow,63.66944433
Europe and Central Asia,4/1/21,Inflow,74.41666667
Europe and Central Asia,4/1/21,Outflow,64.813889
Europe and Central Asia,7/1/21,Inflow,75.99166633
Europe and Central Asia,7/1/21,Outflow,66.677778
Europe and Central Asia,10/1/21,Inflow,75.53055533
Europe and Central Asia,10/1/21,Outflow,67.25000067
Europe and Central Asia,1/1/22,Inflow,74.37500067
Europe and Central Asia,1/1/22,Outflow,66.69166667
Europe and Central Asia,4/1/22,Inflow,72.944445
Europe and Central Asia,4/1/22,Outflow,66.07222267
Europe and Central Asia,7/1/22,Inflow,70.652778
Europe and Central Asia,7/1/22,Outflow,64.68333267
Europe and Central Asia,10/1/22,Inflow,66.78160966
Europe and Central Asia,10/1/22,Outflow,62.36206759
Europe and Central Asia,1/1/23,Inflow,59.82777833
Europe and Central Asia,1/1/23,Outflow,56.54444433
Europe and Central Asia,4/1/23,Inflow,56.43333433
Europe and Central Asia,4/1/23,Outflow,53.452778
Europe and Central Asia,7/1/23,Inflow,52.44722267
