State,Number of AI-related bills passed 2016–25
Alabama,9
Alaska,1
Arizona,9
Arkansas,4
California,62
Colorado,11
Connecticut,5
Delaware,2
Florida,11
Georgia,3
Hawaii,4
Idaho,4
Illinois,15
Indiana,5
Iowa,5
Kansas,2
Kentucky,3
Louisiana,6
Maine,3
Maryland,28
Massachusetts,11
Michigan,9
Minnesota,5
Mississippi,9
Missouri,0
Montana,8
Nebraska,3
Nevada,4
New Hampshire,7
New Jersey,5
New Mexico,6
New York,18
North Carolina,7
North Dakota,12
Ohio,3
Oklahoma,2
Oregon,5
Pennsylvania,4
Rhode Island,0
South Carolina,1
South Dakota,2
Tennessee,7
Texas,17
Utah,24
Vermont,7
Virginia,25
Washington,12
West Virginia,7
Wisconsin,3
Wyoming,1
