year,type,cumulative_value
2013,OTAs,0.00102619
2013,Contracts,0.038986382
2013,Grants,0.044765486
2014,OTAs,0.00102619
2014,Contracts,0.108717089
2014,Grants,0.09561613
2015,OTAs,0.00102619
2015,Contracts,0.155877991
2015,Grants,0.175763305
2016,OTAs,0.00158519
2016,Contracts,0.211945907
2016,Grants,0.254358928
2017,OTAs,0.00158519
2017,Contracts,0.346311241
2017,Grants,0.395938016
2018,OTAs,0.01320127
2018,Contracts,0.555232168
2018,Grants,0.665137464
2019,OTAs,0.113811319
2019,Contracts,0.834565054
2019,Grants,1.095402408
2020,OTAs,0.191429375
2020,Contracts,1.295104278
2020,Grants,1.794078399
2021,OTAs,0.263015711
2021,Contracts,1.998592141
2021,Grants,3.458725191
2022,OTAs,0.331803732
2022,Contracts,2.579278306
2022,Grants,6.807751103
2023,OTAs,0.529075209
2023,Contracts,3.222641008
2023,Grants,10.83414149
2024,OTAs,0.652831316
2024,Contracts,3.909063679
2024,Grants,15.88085382
