Year,Public spending on AI (in billions of US dollars),Label
2013,0.00102619,OTAs
2014,0,OTAs
2015,0,OTAs
2016,0.000559,OTAs
2017,0,OTAs
2018,0.01161608,OTAs
2019,0.100610049,OTAs
2020,0.077618056,OTAs
2021,0.071586337,OTAs
2022,0.068788021,OTAs
2023,0.197271477,OTAs
2024,0.123756107,OTAs
2013,0.038986382,Contracts
2014,0.069730707,Contracts
2015,0.047160902,Contracts
2016,0.056067915,Contracts
2017,0.134365334,Contracts
2018,0.208920928,Contracts
2019,0.279332886,Contracts
2020,0.460539224,Contracts
2021,0.703487863,Contracts
2022,0.580686165,Contracts
2023,0.643362702,Contracts
2024,0.686422672,Contracts
2013,0.044765486,Grants
2014,0.050850644,Grants
2015,0.080147175,Grants
2016,0.078595623,Grants
2017,0.141579088,Grants
2018,0.269199448,Grants
2019,0.430264944,Grants
2020,0.698675991,Grants
2021,1.664646792,Grants
2022,3.349025912,Grants
2023,4.026390386,Grants
2024,5.046712328,Grants
