State,Value
ALABAMA,181231065.6
ALASKA,11967676.46
ARIZONA,240563003.2
ARKANSAS,43172171.26
CALIFORNIA,2368972350
COLORADO,353301683.8
CONNECTICUT,220978588.1
DELAWARE,58320418.76
DISTRICT OF COLUMBIA,152727339.3
FLORIDA,565298499.4
GEORGIA,387716633.8
HAWAII,56874848.22
IDAHO,37073064.88
ILLINOIS,654841387.2
INDIANA,331093258.9
IOWA,134409395.2
KANSAS,65625657.35
KENTUCKY,62581617.18
LOUISIANA,85960132
MAINE,43677379.93
MARYLAND,722026557.1
MASSACHUSETTS,1297325446
MICHIGAN,409364122.3
MINNESOTA,245441745.9
MISSISSIPPI,60982719.38
MISSOURI,218680859.9
MONTANA,36531277
NEBRASKA,43040677.37
NEVADA,47840914.15
NEW HAMPSHIRE,92689489.59
NEW JERSEY,244398756.2
NEW MEXICO,49854907.21
NEW YORK,1155652804
NORTH CAROLINA,502707093.9
NORTH DAKOTA,50752150.17
OHIO,304808506.5
OKLAHOMA,139913124.8
OREGON,201180440.9
PENNSYLVANIA,980964781.9
RHODE ISLAND,58509790.48
SOUTH CAROLINA,180606531.8
SOUTH DAKOTA,20621172.45
TENNESSEE,240941734.4
TEXAS,907137559.6
UTAH,111979205.2
VERMONT,23890714.81
VIRGINIA,297221026.2
WASHINGTON,622235385.9
WEST VIRGINIA,34276572.89
WISCONSIN,360343670.1
WYOMING,11741117.54
