country_name,year,cumulative_value
Spain,2013,0.001688809
Germany,2013,0.000775491
Others,2013,0.00586419
United Kingdom,2013,0.000372736
France,2014,0.000161628
Germany,2014,0.001194408
Others,2014,0.01201458
United Kingdom,2014,0.000385072
Finland,2015,0
Spain,2015,0.001820096
France,2015,0.000554094
Others,2015,0.021608668
United Kingdom,2015,0.00096104
Belgium,2016,0.00261234
France,2016,0.002543626
Germany,2016,0.001812406
Others,2016,0.024145008
United Kingdom,2016,0.003065969
Belgium,2017,0.002979714
Finland,2017,0.002708014
Spain,2017,0.002289618
France,2017,0.003464084
Germany,2017,0.031737767
Others,2017,0.033448143
United Kingdom,2017,0.01083249
Belgium,2018,0.003463106
Finland,2018,0.012123093
Spain,2018,0.003022385
France,2018,0.01019998
Germany,2018,0.037754203
Others,2018,0.061423963
United Kingdom,2018,0.040321399
Belgium,2019,0.039450105
Finland,2019,0.028382567
Spain,2019,0.006765979
France,2019,0.020586076
Germany,2019,0.114698401
Others,2019,0.097020551
United Kingdom,2019,0.060184454
Belgium,2020,0.043116525
Finland,2020,0.041594699
Spain,2020,0.019863318
France,2020,0.034216158
Germany,2020,0.138270851
Others,2020,0.150201978
United Kingdom,2020,0.17059732
Belgium,2021,0.047890441
Finland,2021,0.057382958
Spain,2021,0.02276309
France,2021,0.046809971
Germany,2021,0.187340892
Others,2021,0.202261253
United Kingdom,2021,0.767274727
Belgium,2022,0.075194051
Finland,2022,0.068091998
Spain,2022,0.050123249
France,2022,0.119474645
Germany,2022,0.229898963
Others,2022,0.333659965
United Kingdom,2022,0.851592848
Belgium,2023,0.095131434
Finland,2023,0.079703508
Spain,2023,0.100873068
France,2023,0.140002449
Germany,2023,0.298651136
Others,2023,0.558467804
United Kingdom,2023,1.139712325
Belgium,2024,0.119376389
Finland,2024,0.155320703
Spain,2024,0.18816236
France,2024,0.321790582
Germany,2024,0.505243282
Others,2024,0.776540691
United Kingdom,2024,1.594109629
