Question,Year,Value
I have a good understanding of what artificial intelligence is,2022,0.64
I know which types of products and services use artificial intelligence,2022,0.5
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2022,0.49
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2022,0.6
Products and services using artificial intelligence have more benefits than drawbacks,2022,0.52
Products and services using artificial intelligence make me nervous,2022,0.39
I trust companies that use artificial intelligence as much as I trust other companies,2022,0.5
I have a good understanding of what artificial intelligence is,2023,0.67
I know which types of products and services use artificial intelligence,2023,0.51
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2023,0.49
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2023,0.66
Products and services using artificial intelligence have more benefits than drawbacks,2023,0.54
I trust artificial intelligence to not discriminate or show bias toward any group of people,2023,0.56
I trust that companies that use artificial intelligence will protect my personal data,2023,0.5
Products and services using artificial intelligence make me excited,2023,0.54
Products and services using artificial intelligence make me nervous,2023,0.52
I trust companies that use artificial intelligence as much as I trust other companies,2023,0.52
I have a good understanding of what artificial intelligence is,2024,0.67
I know which types of products and services use artificial intelligence,2024,0.52
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2024,0.5
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2024,0.66
Products and services using artificial intelligence have more benefits than drawbacks,2024,0.55
I trust people not to discriminate or show bias toward any group of people,2024,0.45
I trust artificial intelligence to not discriminate or show bias toward any group of people,2024,0.54
I trust that companies that use artificial intelligence will protect my personal data,2024,0.47
Products and services using artificial intelligence make me excited,2024,0.53
Products and services using artificial intelligence make me nervous,2024,0.5
I have a good understanding of what artificial intelligence is,2025,0.679
I know which types of products and services use artificial intelligence,2025,0.53
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,2025,0.53
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,2025,0.67
Products and services using artificial intelligence have more benefits than drawbacks,2025,0.589
I trust people not to discriminate or show bias toward any group of people,2025,0.55
I trust artificial intelligence to not discriminate or show bias toward any group of people,2025,0.554
I trust that companies that use artificial intelligence will protect my personal data,2025,0.48
Products and services using artificial intelligence make me excited,2025,0.53
Products and services using artificial intelligence make me nervous,2025,0.52
Products and services using artificial intelligence should have to disclose that use,2025,0.793
I trust the government of [my Country] to regulate AI responsibly,2025,0.54
