country,using_ai_at_work,trust_ai_at_work
Global,58,53
India,91,81
China,88,73
Nigeria,85,81
United Arab Emirates,84,69
Egypt,84,79
Saudi Arabia,82,69
Costa Rica,76,55
Brazil,75,60
South Africa,74,64
Turkey,69,62
Norway,67,61
Switzerland,65,54
Colombia,65,51
Singapore,64,60
Mexico,64,53
Argentina,62,52
Chile,58,50
Poland,54,49
Lithuania,54,32
South Korea,54,46
Latvia,53,40
Estonia,53,52
Denmark,53,51
USA,52,48
Romania,52,48
Spain,50,53
Slovenia,50,42
Portugal,49,44
Italy,49,42
Austria,49,43
Australia,49,45
United Kingdom,48,48
Ireland,47,43
Finland,47,33
Israel,46,57
Sweden,44,39
Japan,44,31
France,44,41
Belgium,44,48
Greece,43,50
Canada,43,41
Netherlands,42,42
Germany,42,43
New Zealand,41,39
Hungary,39,55
Slovak Republic,35,39
Czech Republic,33,39
