Country,Category,% of respondents
India ,AI strategy and culture,0.86
Nigeria ,AI strategy and culture,0.835
Egypt ,AI strategy and culture,0.84
China ,AI strategy and culture,0.76
United Arab Emirates ,AI strategy and culture,0.76
Saudi Arabia ,AI strategy and culture,0.76
Turkey ,AI strategy and culture,0.79
South Africa ,AI strategy and culture,0.715
Brazil ,AI strategy and culture,0.7
Singapore ,AI strategy and culture,0.723
Costa Rica ,AI strategy and culture,0.71
Switzerland ,AI strategy and culture,0.67
United Kingdom ,AI strategy and culture,0.64
Mexico ,AI strategy and culture,0.64
Colombia ,AI strategy and culture,0.65
Norway ,AI strategy and culture,0.62
Italy ,AI strategy and culture,0.6
Denmark ,AI strategy and culture,0.61
United States ,AI strategy and culture,0.625
Argentina ,AI strategy and culture,0.64
Chile ,AI strategy and culture,0.61
Romania ,AI strategy and culture,0.54
Estonia ,AI strategy and culture,0.59
Australia ,AI strategy and culture,0.54
Poland ,AI strategy and culture,0.54
Ireland ,AI strategy and culture,0.57
Hungary ,AI strategy and culture,0.59
Canada ,AI strategy and culture,0.59
Belgium ,AI strategy and culture,0.57
Spain ,AI strategy and culture,0.51
Latvia ,AI strategy and culture,0.47
Sweden ,AI strategy and culture,0.51
France ,AI strategy and culture,0.52
Lithuania ,AI strategy and culture,0.49
Japan ,AI strategy and culture,0.56
Germany ,AI strategy and culture,0.53
Austria ,AI strategy and culture,0.52
Greece ,AI strategy and culture,0.53
Israel ,AI strategy and culture,0.54
Netherlands ,AI strategy and culture,0.48
Slovak Republic ,AI strategy and culture,0.47
New Zealand ,AI strategy and culture,0.5
South Korea ,AI strategy and culture,0.51
Finland ,AI strategy and culture,0.47
Czech Republic ,AI strategy and culture,0.47
Slovenia ,AI strategy and culture,0.455
Portugal ,AI strategy and culture,0.5
India ,Support for AI literacy,0.87
Nigeria ,Support for AI literacy,0.81
Egypt ,Support for AI literacy,0.81
China ,Support for AI literacy,0.825
United Arab Emirates ,Support for AI literacy,0.8
Saudi Arabia ,Support for AI literacy,0.79
Turkey ,Support for AI literacy,0.75
South Africa ,Support for AI literacy,0.725
Brazil ,Support for AI literacy,0.715
Singapore ,Support for AI literacy,0.72
Costa Rica ,Support for AI literacy,0.66
Switzerland ,Support for AI literacy,0.71
United Kingdom ,Support for AI literacy,0.64
Mexico ,Support for AI literacy,0.64
Colombia ,Support for AI literacy,0.65
Norway ,Support for AI literacy,0.64
Italy ,Support for AI literacy,0.62
Denmark ,Support for AI literacy,0.62
United States ,Support for AI literacy,0.62
Argentina ,Support for AI literacy,0.62
Chile ,Support for AI literacy,0.61
Romania ,Support for AI literacy,0.6
Estonia ,Support for AI literacy,0.63
Australia ,Support for AI literacy,0.56
Poland ,Support for AI literacy,0.585
Ireland ,Support for AI literacy,0.565
Hungary ,Support for AI literacy,0.57
Canada ,Support for AI literacy,0.55
Belgium ,Support for AI literacy,0.52
Spain ,Support for AI literacy,0.53
Latvia ,Support for AI literacy,0.56
Sweden ,Support for AI literacy,0.525
France ,Support for AI literacy,0.52
Lithuania ,Support for AI literacy,0.54
Japan ,Support for AI literacy,0.47
Germany ,Support for AI literacy,0.5
Austria ,Support for AI literacy,0.51
Greece ,Support for AI literacy,0.51
Israel ,Support for AI literacy,0.52
Netherlands ,Support for AI literacy,0.49
Slovak Republic ,Support for AI literacy,0.485
New Zealand ,Support for AI literacy,0.48
South Korea ,Support for AI literacy,0.48
Finland ,Support for AI literacy,0.49
Czech Republic ,Support for AI literacy,0.49
Slovenia ,Support for AI literacy,0.5
Portugal ,Support for AI literacy,0.45
India ,Responsible AI governance,0.85
Nigeria ,Responsible AI governance,0.77
Egypt ,Responsible AI governance,0.79
China ,Responsible AI governance,0.77
United Arab Emirates ,Responsible AI governance,0.77
Saudi Arabia ,Responsible AI governance,0.77
Turkey ,Responsible AI governance,0.69
South Africa ,Responsible AI governance,0.75
Brazil ,Responsible AI governance,0.7
Singapore ,Responsible AI governance,0.7
Costa Rica ,Responsible AI governance,0.64
Switzerland ,Responsible AI governance,0.64
United Kingdom ,Responsible AI governance,0.63
Mexico ,Responsible AI governance,0.61
Colombia ,Responsible AI governance,0.59
Norway ,Responsible AI governance,0.61
Italy ,Responsible AI governance,0.64
Denmark ,Responsible AI governance,0.63
United States ,Responsible AI governance,0.57
Argentina ,Responsible AI governance,0.55
Chile ,Responsible AI governance,0.54
Romania ,Responsible AI governance,0.61
Estonia ,Responsible AI governance,0.54
Australia ,Responsible AI governance,0.61
Poland ,Responsible AI governance,0.61
Ireland ,Responsible AI governance,0.51
Hungary ,Responsible AI governance,0.56
Canada ,Responsible AI governance,0.55
Belgium ,Responsible AI governance,0.53
Spain ,Responsible AI governance,0.52
Latvia ,Responsible AI governance,0.47
Sweden ,Responsible AI governance,0.525
France ,Responsible AI governance,0.53
Lithuania ,Responsible AI governance,0.52
Japan ,Responsible AI governance,0.5
Germany ,Responsible AI governance,0.54
Austria ,Responsible AI governance,0.515
Greece ,Responsible AI governance,0.46
Israel ,Responsible AI governance,0.44
Netherlands ,Responsible AI governance,0.5
Slovak Republic ,Responsible AI governance,0.49
New Zealand ,Responsible AI governance,0.47
South Korea ,Responsible AI governance,0.46
Finland ,Responsible AI governance,0.49
Czech Republic ,Responsible AI governance,0.48
Slovenia ,Responsible AI governance,0.45
Portugal ,Responsible AI governance,0.405
