Country,Year,"% of respondents that ""Agree"""
Argentina ,2022,0.55
Australia ,2022,0.37
Belgium ,2022,0.38
Brazil ,2022,0.57
Canada ,2022,0.32
Chile ,2022,0.63
China ,2022,0.78
Colombia ,2022,0.64
France ,2022,0.31
Germany ,2022,0.37
Great Britain ,2022,0.38
Hungary ,2022,0.49
India ,2022,0.71
Italy ,2022,0.5
Japan ,2022,0.42
Malaysia ,2022,0.65
Mexico ,2022,0.65
Netherlands ,2022,0.33
Peru ,2022,0.7
Poland ,2022,0.48
Russia ,2022,0.53
Saudi Arabia ,2022,0.76
South Africa ,2022,0.57
South Korea ,2022,0.62
Spain ,2022,0.53
Sweden ,2022,0.4
Turkey ,2022,0.6
United States ,2022,0.35
Argentina ,2023,0.57
Australia ,2023,0.4
Belgium ,2023,0.39
Brazil ,2023,0.64
Canada ,2023,0.38
Chile ,2023,0.59
Colombia ,2023,0.65
France ,2023,0.37
Germany ,2023,0.42
Great Britain ,2023,0.46
Hungary ,2023,0.48
India ,2023,0.65
Indonesia ,2023,0.78
Ireland ,2023,0.4
Italy ,2023,0.55
Japan ,2023,0.52
Malaysia ,2023,0.69
Mexico ,2023,0.73
Netherlands ,2023,0.43
New Zealand ,2023,0.44
Peru ,2023,0.67
Poland ,2023,0.47
Romania ,2023,0.61
Singapore ,2023,0.64
South Africa ,2023,0.59
South Korea ,2023,0.66
Spain ,2023,0.5
Sweden ,2023,0.39
Thailand ,2023,0.74
Turkey ,2023,0.67
United States ,2023,0.37
Argentina ,2024,0.57
Australia ,2024,0.44
Belgium ,2024,0.38
Brazil ,2024,0.56
Canada ,2024,0.4
Chile ,2024,0.6
China ,2024,0.83
Colombia ,2024,0.66
France ,2024,0.41
Germany ,2024,0.47
Great Britain ,2024,0.46
Hungary ,2024,0.51
India ,2024,0.62
Indonesia ,2024,0.8
Ireland ,2024,0.45
Italy ,2024,0.53
Japan ,2024,0.48
Malaysia ,2024,0.63
Mexico ,2024,0.7
Netherlands ,2024,0.36
New Zealand ,2024,0.48
Peru ,2024,0.7
Poland ,2024,0.44
Singapore ,2024,0.66
South Africa ,2024,0.62
South Korea ,2024,0.66
Spain ,2024,0.5
Sweden ,2024,0.43
Switzerland ,2024,0.42
Thailand ,2024,0.77
Turkey ,2024,0.69
United States ,2024,0.39
Argentina ,2025,0.57
Australia ,2025,0.47
Belgium ,2025,0.41
Brazil ,2025,0.58
Canada ,2025,0.4
Chile ,2025,0.63
China ,2025,0.869
Colombia ,2025,0.58
France ,2025,0.41
Germany ,2025,0.49
Great Britain ,2025,0.43
Hungary ,2025,0.48
India ,2025,0.67
Indonesia ,2025,0.85
Ireland ,2025,0.48
Italy ,2025,0.53
Japan ,2025,0.48
Malaysia ,2025,0.7
Mexico ,2025,0.7
Netherlands ,2025,0.43
Peru ,2025,0.69
Poland ,2025,0.5
Singapore ,2025,0.73
South Africa ,2025,0.64
South Korea ,2025,0.67
Spain ,2025,0.53
Sweden ,2025,0.43
Switzerland ,2025,0.45
Thailand ,2025,0.78
Turkey ,2025,0.66
United States ,2025,0.42
Argentina ,Point change 2022 vs. 2025,0.02
Australia ,Point change 2022 vs. 2025,0.1
Belgium ,Point change 2022 vs. 2025,0.03
Brazil ,Point change 2022 vs. 2025,0.01
Canada ,Point change 2022 vs. 2025,0.08
Chile ,Point change 2022 vs. 2025,0
China ,Point change 2022 vs. 2025,0.089
Colombia ,Point change 2022 vs. 2025,-0.06
France ,Point change 2022 vs. 2025,0.1
Germany ,Point change 2022 vs. 2025,0.12
Great Britain ,Point change 2022 vs. 2025,0.05
Hungary ,Point change 2022 vs. 2025,-0.01
India ,Point change 2022 vs. 2025,-0.04
Italy ,Point change 2022 vs. 2025,0.03
Japan ,Point change 2022 vs. 2025,0.06
Malaysia ,Point change 2022 vs. 2025,0.05
Mexico ,Point change 2022 vs. 2025,0.05
Netherlands ,Point change 2022 vs. 2025,0.1
Peru ,Point change 2022 vs. 2025,-0.01
Poland ,Point change 2022 vs. 2025,0.02
South Africa ,Point change 2022 vs. 2025,0.07
South Korea ,Point change 2022 vs. 2025,0.05
Spain ,Point change 2022 vs. 2025,0
Sweden ,Point change 2022 vs. 2025,0.03
Turkey ,Point change 2022 vs. 2025,0.06
United States ,Point change 2022 vs. 2025,0.07
