Category,Country,Response
I have a good understanding of what artificial intelligence is ,Global,0
I know which types of products and services use artificial intelligence ,Global,0
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Global,0.03
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Global,0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Global,0
I trust that companies that use artificial intelligence will protect my personal data ,Global,0.01
Products and services using artificial intelligence make me excited ,Global,-0.01
Products and services using artificial intelligence make me nervous ,Global,0.03
Products and services using artificial intelligence make me nervous ,Argentina,-0.01
Products and services using artificial intelligence make me excited ,Argentina,-0.09
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Argentina,0.01
I trust that companies that use artificial intelligence will protect my personal data ,Argentina,0.01
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Argentina,0.05
I know which types of products and services use artificial intelligence ,Argentina,-0.02
I have a good understanding of what artificial intelligence is ,Argentina,-0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Argentina,0.01
I have a good understanding of what artificial intelligence is ,Australia,0.04
I know which types of products and services use artificial intelligence ,Australia,0.04
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Australia,0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Australia,0.04
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Australia,-0.02
I trust that companies that use artificial intelligence will protect my personal data ,Australia,0.01
Products and services using artificial intelligence make me excited ,Australia,0.01
Products and services using artificial intelligence make me nervous ,Australia,0.03
Products and services using artificial intelligence make me excited ,Belgium,-0.01
Products and services using artificial intelligence make me nervous ,Belgium,-0.01
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Belgium,0.02
I trust that companies that use artificial intelligence will protect my personal data ,Belgium,0.01
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Belgium,0.02
I know which types of products and services use artificial intelligence ,Belgium,-0.02
I have a good understanding of what artificial intelligence is ,Belgium,-0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Belgium,-0.03
I have a good understanding of what artificial intelligence is ,Brazil,0.02
I know which types of products and services use artificial intelligence ,Brazil,-0.01
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Brazil,0
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Brazil,-0.04
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Brazil,-0.02
I trust that companies that use artificial intelligence will protect my personal data ,Brazil,0.02
Products and services using artificial intelligence make me excited ,Brazil,0.01
Products and services using artificial intelligence make me nervous ,Brazil,-0.01
Products and services using artificial intelligence make me nervous ,Canada,0.01
Products and services using artificial intelligence make me excited ,Canada,-0.06
I trust that companies that use artificial intelligence will protect my personal data ,Canada,0.02
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Canada,-0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Canada,-0.05
I know which types of products and services use artificial intelligence ,Canada,0.03
I have a good understanding of what artificial intelligence is ,Canada,-0.06
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Canada,-0.04
I have a good understanding of what artificial intelligence is ,Chile,0.1
I know which types of products and services use artificial intelligence ,Chile,0.07
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,Chile,0.08
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,Chile,0.04
I trust artificial intelligence to not discriminate or show bias toward any group of people ,Chile,0.04
I trust that companies that use artificial intelligence will protect my personal data ,Chile,0.07
Products and services using artificial intelligence make me excited ,Chile,0.07
Products and services using artificial intelligence make me nervous ,Chile,0.09
Products and services using artificial intelligence make me excited ,China,0.03
Products and services using artificial intelligence make me nervous ,China,0.06
I trust artificial intelligence to not discriminate or show bias toward any group of people ,China,0.01
I trust that companies that use artificial intelligence will protect my personal data ,China,0.05
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years ,China,0.06
I have a good understanding of what artificial intelligence is ,China,0.06
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years ,China,0.03
I know which types of products and services use artificial intelligence ,China,0.02
I have a good understanding of what artificial intelligence is ,Colombia,0.02
I know which types of products and services use artificial intelligence ,Colombia,-0.06
