Percentage,Category,Label
55,"Social and emotional intelligence, the ability to understand and manage social interactions",U.S. adults
53,"Metacognition, the ability to think analytically about thinking",U.S. adults
53,Capacity and willingness to think deeply about complex concepts,U.S. adults
49,Empathy and application of moral judgment,U.S. adults
49,"Individual agency, the ability to act independently in the world",U.S. adults
48,Decision-making and problem-solving abilities,U.S. adults
45,Innovative thinking and creativity,U.S. adults
43,Confidence in their own native abilities,U.S. adults
42,Mental well-being,U.S. adults
42,"Self-identity, meaning, and purpose in life",U.S. adults
41,Trust in widely shared values and cultural norms,U.S. adults
38,Curiosity and capacity to learn,U.S. adults
50,"Social and emotional intelligence, the ability to understand and manage social interactions",AI experts
36,"Metacognition, the ability to think analytically about thinking",AI experts
50,Capacity and willingness to think deeply about complex concepts,AI experts
45,Empathy and application of moral judgment,AI experts
44,"Individual agency, the ability to act independently in the world",AI experts
30,Decision-making and problem-solving abilities,AI experts
30,Innovative thinking and creativity,AI experts
48,Confidence in their own native abilities,AI experts
45,Mental well-being,AI experts
39,"Self-identity, meaning, and purpose in life",AI experts
48,Trust in widely shared values and cultural norms,AI experts
29,Curiosity and capacity to learn,AI experts
