AI companionship adoption,,Label
50,FrontierMath accuracy,Public
21.66666667,Share of AI-engaged scientific publications (all fields),Public
10,Work hours assisted by AI,Public
12,U.S. ride-hailing trips by autonomous vehicles,Public
13,Adults using AI companions daily,Public
8,AI share of U.S. electricity,Public
6,AI-discovered share of drug sales,Public
23,General AI progress scenario (rapid),Public
27.2,Probability AI solves a Millennium Prize problem,Public
75,FrontierMath accuracy,Expert
30,Share of AI-engaged scientific publications (all fields),Expert
18.2,Work hours assisted by AI,Expert
20,U.S. ride-hailing trips by autonomous vehicles,Expert
15.1,Adults using AI companions daily,Expert
7.4,AI share of U.S. electricity,Expert
5,AI-discovered share of drug sales,Expert
20,General AI progress scenario (rapid),Expert
20.4,Probability AI solves a Millennium Prize problem,Expert
40,Technological Richter Scale (level 8+),Public
15,AI-discovered share of drug sales,Public
20,Adults using AI companions daily,Public
50,Probability AI solves a Millennium Prize problem,Public
14,AI share of U.S. electricity,Public
70,Technological Richter Scale (level 8+),Expert
25,AI-discovered share of drug sales,Expert
30,Adults using AI companions daily,Expert
60,Probability AI solves a Millennium Prize problem,Expert
12.4,AI share of U.S. electricity,Expert
