Percent of respondents,Category,Label
0.31,U.S. adults,Almost constantly/several times a day
0.33,Men,Almost constantly/several times a day
0.28,Women,Almost constantly/several times a day
0.31,White,Almost constantly/several times a day
0.27,Black,Almost constantly/several times a day
0.29,Hispanic,Almost constantly/several times a day
0.39,Asian*,Almost constantly/several times a day
0.33,Ages 18–29,Almost constantly/several times a day
0.37,30–49,Almost constantly/several times a day
0.3,50–64,Almost constantly/several times a day
0.19,65+,Almost constantly/several times a day
0.46,Postgrad,Almost constantly/several times a day
0.39,College grad,Almost constantly/several times a day
0.3,Some college,Almost constantly/several times a day
0.2,HS or less,Almost constantly/several times a day
0.28,Rep/Lean Rep,Almost constantly/several times a day
0.33,Dem/Lean Dem,Almost constantly/several times a day
0.15,U.S. adults,About once a day
0.16,Men,About once a day
0.14,Women,About once a day
0.15,White,About once a day
0.18,Black,About once a day
0.13,Hispanic,About once a day
0.19,Asian*,About once a day
0.2,Ages 18–29,About once a day
0.16,30–49,About once a day
0.13,50–64,About once a day
0.11,65+,About once a day
0.16,Postgrad,About once a day
0.17,College grad,About once a day
0.15,Some college,About once a day
0.14,HS or less,About once a day
0.15,Rep/Lean Rep,About once a day
0.15,Dem/Lean Dem,About once a day
0.17,U.S. adults,Several times a week
0.17,Men,Several times a week
0.16,Women,Several times a week
0.17,White,Several times a week
0.13,Black,Several times a week
0.16,Hispanic,Several times a week
0.18,Asian*,Several times a week
0.21,Ages 18–29,Several times a week
0.14,30–49,Several times a week
0.18,50–64,Several times a week
0.16,65+,Several times a week
0.17,Postgrad,Several times a week
0.19,College grad,Several times a week
0.17,Some college,Several times a week
0.14,HS or less,Several times a week
0.18,Rep/Lean Rep,Several times a week
0.16,Dem/Lean Dem,Several times a week
