Percent of respondents,State,Label
0.28,Alabama,Go too far regulating its use
0.25,Arizona,Go too far regulating its use
0.28,Arkansas,Go too far regulating its use
0.28,California,Go too far regulating its use
0.29,Colorado,Go too far regulating its use
0.25,Connecticut,Go too far regulating its use
0.28,Florida,Go too far regulating its use
0.29,Georgia,Go too far regulating its use
0.25,Illinois,Go too far regulating its use
0.26,Indiana,Go too far regulating its use
0.22,Iowa,Go too far regulating its use
0.25,Kansas,Go too far regulating its use
0.24,Kentucky,Go too far regulating its use
0.26,Louisiana,Go too far regulating its use
0.28,Maryland,Go too far regulating its use
0.24,Massachusetts,Go too far regulating its use
0.29,Michigan,Go too far regulating its use
0.25,Minnesota,Go too far regulating its use
0.28,Mississippi,Go too far regulating its use
0.2,Missouri,Go too far regulating its use
0.25,Nebraska,Go too far regulating its use
0.27,Nevada,Go too far regulating its use
0.24,New Hampshire,Go too far regulating its use
0.27,New Jersey,Go too far regulating its use
0.24,New Mexico,Go too far regulating its use
0.31,New York,Go too far regulating its use
0.28,North Carolina,Go too far regulating its use
0.25,Ohio,Go too far regulating its use
0.23,Oklahoma,Go too far regulating its use
0.21,Oregon,Go too far regulating its use
0.27,Pennsylvania,Go too far regulating its use
0.25,South Carolina,Go too far regulating its use
0.31,Tennessee,Go too far regulating its use
0.29,Texas,Go too far regulating its use
0.25,Utah,Go too far regulating its use
0.26,Virginia,Go too far regulating its use
0.24,Washington,Go too far regulating its use
0.26,West Virginia,Go too far regulating its use
0.25,Wisconsin,Go too far regulating its use
0.36,Alabama,Not go far enough regulating its use
0.41,Arizona,Not go far enough regulating its use
0.39,Arkansas,Not go far enough regulating its use
0.39,California,Not go far enough regulating its use
0.43,Colorado,Not go far enough regulating its use
0.42,Connecticut,Not go far enough regulating its use
0.4,Florida,Not go far enough regulating its use
0.35,Georgia,Not go far enough regulating its use
0.41,Illinois,Not go far enough regulating its use
0.41,Indiana,Not go far enough regulating its use
0.43,Iowa,Not go far enough regulating its use
0.4,Kansas,Not go far enough regulating its use
0.41,Kentucky,Not go far enough regulating its use
0.38,Louisiana,Not go far enough regulating its use
0.41,Maryland,Not go far enough regulating its use
0.44,Massachusetts,Not go far enough regulating its use
0.43,Michigan,Not go far enough regulating its use
0.47,Minnesota,Not go far enough regulating its use
0.34,Mississippi,Not go far enough regulating its use
0.48,Missouri,Not go far enough regulating its use
0.37,Nebraska,Not go far enough regulating its use
0.36,Nevada,Not go far enough regulating its use
0.42,New Hampshire,Not go far enough regulating its use
0.42,New Jersey,Not go far enough regulating its use
0.46,New Mexico,Not go far enough regulating its use
0.36,New York,Not go far enough regulating its use
0.41,North Carolina,Not go far enough regulating its use
0.41,Ohio,Not go far enough regulating its use
0.4,Oklahoma,Not go far enough regulating its use
0.45,Oregon,Not go far enough regulating its use
0.45,Pennsylvania,Not go far enough regulating its use
0.4,South Carolina,Not go far enough regulating its use
0.37,Tennessee,Not go far enough regulating its use
0.37,Texas,Not go far enough regulating its use
0.44,Utah,Not go far enough regulating its use
0.42,Virginia,Not go far enough regulating its use
0.48,Washington,Not go far enough regulating its use
0.4,West Virginia,Not go far enough regulating its use
0.45,Wisconsin,Not go far enough regulating its use
0.35,Alabama,Not sure
0.33,Arizona,Not sure
0.33,Arkansas,Not sure
0.33,California,Not sure
0.29,Colorado,Not sure
0.33,Connecticut,Not sure
0.33,Florida,Not sure
0.35,Georgia,Not sure
0.34,Illinois,Not sure
0.34,Indiana,Not sure
0.35,Iowa,Not sure
0.35,Kansas,Not sure
0.35,Kentucky,Not sure
0.36,Louisiana,Not sure
0.31,Maryland,Not sure
0.32,Massachusetts,Not sure
0.28,Michigan,Not sure
0.28,Minnesota,Not sure
0.38,Mississippi,Not sure
0.32,Missouri,Not sure
0.38,Nebraska,Not sure
0.37,Nevada,Not sure
0.34,New Hampshire,Not sure
0.3,New Jersey,Not sure
0.29,New Mexico,Not sure
0.33,New York,Not sure
0.31,North Carolina,Not sure
0.35,Ohio,Not sure
0.37,Oklahoma,Not sure
0.34,Oregon,Not sure
0.27,Pennsylvania,Not sure
0.35,South Carolina,Not sure
0.32,Tennessee,Not sure
0.34,Texas,Not sure
0.31,Utah,Not sure
0.32,Virginia,Not sure
0.28,Washington,Not sure
0.34,West Virginia,Not sure
0.3,Wisconsin,Not sure
