Percent of respondents,Demographic Group,Label
27%,Total,Go too far regulating its use
28%,Male,Go too far regulating its use
25%,Female,Go too far regulating its use
25%,White,Go too far regulating its use
34%,Black,Go too far regulating its use
32%,Hispanic,Go too far regulating its use
24%,Asian,Go too far regulating its use
35%,18–29,Go too far regulating its use
31%,30–49,Go too far regulating its use
22%,50–64,Go too far regulating its use
16%,65+,Go too far regulating its use
29%,<&#36;30K,Go too far regulating its use
25%,"&#36;30K–&#36;69,999",Go too far regulating its use
24%,"&#36;70K–&#36;99,999",Go too far regulating its use
29%,&#36;100K+,Go too far regulating its use
27%,HS or less,Go too far regulating its use
27%,Some college,Go too far regulating its use
26%,College+,Go too far regulating its use
29%,Urban,Go too far regulating its use
25%,Suburban,Go too far regulating its use
25%,Rural,Go too far regulating its use
28%,Republican,Go too far regulating its use
25%,Independent/Other,Go too far regulating its use
27%,Democrat,Go too far regulating its use
41%,Total,Not go far enough regulating its use
41%,Male,Not go far enough regulating its use
40%,Female,Not go far enough regulating its use
44%,White,Not go far enough regulating its use
32%,Black,Not go far enough regulating its use
36%,Hispanic,Not go far enough regulating its use
37%,Asian,Not go far enough regulating its use
38%,18–29,Not go far enough regulating its use
36%,30–49,Not go far enough regulating its use
42%,50–64,Not go far enough regulating its use
51%,65+,Not go far enough regulating its use
35%,<&#36;30K,Not go far enough regulating its use
43%,"&#36;30K–&#36;69,999",Not go far enough regulating its use
44%,"&#36;70K–&#36;99,999",Not go far enough regulating its use
44%,&#36;100K+,Not go far enough regulating its use
34%,HS or less,Not go far enough regulating its use
42%,Some college,Not go far enough regulating its use
46%,College+,Not go far enough regulating its use
38%,Urban,Not go far enough regulating its use
42%,Suburban,Not go far enough regulating its use
39%,Rural,Not go far enough regulating its use
40%,Republican,Not go far enough regulating its use
37%,Independent/Other,Not go far enough regulating its use
45%,Democrat,Not go far enough regulating its use
33%,Total,Not sure
31%,Male,Not sure
35%,Female,Not sure
32%,White,Not sure
34%,Black,Not sure
32%,Hispanic,Not sure
39%,Asian,Not sure
27%,18–29,Not sure
33%,30–49,Not sure
36%,50–64,Not sure
33%,65+,Not sure
37%,<&#36;30K,Not sure
32%,"&#36;30K–&#36;69,999",Not sure
32%,"&#36;70K–&#36;99,999",Not sure
26%,&#36;100K+,Not sure
38%,HS or less,Not sure
31%,Some college,Not sure
28%,College+,Not sure
33%,Urban,Not sure
32%,Suburban,Not sure
36%,Rural,Not sure
33%,Republican,Not sure
37%,Independent/Other,Not sure
28%,Democrat,Not sure
