HOJA_DESTINO,COLUMNA_DESTINO,METRIC,YEAR,NUM,ARCHIVO_ORIGEN,HOJA_ORIGEN,COLUMNA_ORIGEN,TRANSFORMACION,AUDITABLE
MATRIZ_GII,ISO3,identificador,todos,N/A,todos,Economies / Economies in Context / GII 2021 Data,ISO3 / ISO2 (renombrada),"Copia directa para 2022-2025; para 2021: columna ISO2→ISO3 (la columna contenía ISO3 real, estaba mal nombrada)",Verificar en Economies sheet de cualquier archivo
MATRIZ_GII,ECONOMY_NAME,identificador,todos,N/A,todos,Economies / Economies in Context / GII 2021 Data,ECONOMY_NAME / Economy / ECONOMY_NAME,Copia directa,Verificar en Economies sheet de cualquier archivo
MATRIZ_GII,REG_UN_2021,desconocido,N/A,REG_UN_2021,N/A,N/A,REG_UN_2021,No parseado,Revisar
MATRIZ_GII,REG_UN_CODE_2021,metadata,N/A,N/A,N/A,N/A,REG_UN_CODE_2021,Por determinar,Revisar
MATRIZ_GII,REG_UN_2022,desconocido,N/A,REG_UN_2022,N/A,N/A,REG_UN_2022,No parseado,Revisar
MATRIZ_GII,REG_UN_CODE_2022,metadata,N/A,N/A,N/A,N/A,REG_UN_CODE_2022,Por determinar,Revisar
MATRIZ_GII,REG_UN_2023,desconocido,N/A,REG_UN_2023,N/A,N/A,REG_UN_2023,No parseado,Revisar
MATRIZ_GII,REG_UN_CODE_2023,metadata,N/A,N/A,N/A,N/A,REG_UN_CODE_2023,Por determinar,Revisar
MATRIZ_GII,REG_UN_2024,desconocido,N/A,REG_UN_2024,N/A,N/A,REG_UN_2024,No parseado,Revisar
MATRIZ_GII,REG_UN_CODE_2024,metadata,N/A,N/A,N/A,N/A,REG_UN_CODE_2024,Por determinar,Revisar
MATRIZ_GII,REG_UN_2025,desconocido,N/A,REG_UN_2025,N/A,N/A,REG_UN_2025,No parseado,Revisar
MATRIZ_GII,REG_UN_CODE_2025,metadata,N/A,N/A,N/A,N/A,REG_UN_CODE_2025,Por determinar,Revisar
MATRIZ_GII,AppCrea_SCORE_2021,SCORE,2021,AppCrea,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=AppCrea + Score
MATRIZ_GII,AppTarriff_SCORE_2021,SCORE,2021,AppTarriff,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=AppTarriff + Score
MATRIZ_GII,BrandVal_SCORE_2021,SCORE,2021,BrandVal,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=BrandVal + Score
MATRIZ_GII,CCTLD_SCORE_2021,SCORE,2021,CCTLD,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CCTLD + Score
MATRIZ_GII,CitDoc_SCORE_2021,SCORE,2021,CitDoc,wipo_pub_2000-tech1.xlsx,GII 2021 Data,Score,"Renombrado (Score→SCORE, Rank→RANK, Value→VALUE_SCREEN, DataYear→DATAYR); Normalización NUM para 2021",Buscar en wipo_pub_2000-tech1.xlsx → GII 2021 Data → ISO3 + NUM=CitDoc + Score
