Country,Number of addresses,City-level address accuracy (%),Publications covered (%), Number of addresses, Block-level address accuracy (%), Sub-city-level address accuracy (%),City-level address accuracy (%).1,Applications covered (%),ENTITY_TYPE,SHEET_ORIGEN,ENTITY_LEVEL,ISO3,ECONOMY_CODE,ISO_MAPPING
China,4836417,98.99,99.49,643189,88.98,0.05,10.9,99.89,country,geocoding results,single-country,CHN,China,China→CHN
United States,6601955,96.95,98.23,888439,94.61,5.13,0.14,99.9,country,geocoding results,single-country,,United States,United States
Japan,1225196,92.27,95.6,593670,31.54,26.3,40.63,98.79,country,geocoding results,single-country,JPN,Japan,Japan→JPN
Germany,1415642,97.67,98.45,269492,97.49,0.49,1.94,99.92,country,geocoding results,single-country,DEU,Germany,Germany→DEU
Republic of Korea,809478,96.29,97.96,252035,0.05,0.93,79.71,86.94,country,geocoding results,single-country,KOR,Republic of Korea,Republic of Korea→KOR
United Kingdom,1437049,96.82,97.88,83678,64.04,27.62,8,99.64,country,geocoding results,single-country,GBR,United Kingdom,United Kingdom→GBR
France,1103856,93.4,95.49,108437,90.38,1.87,5.37,98.08,country,geocoding results,single-country,FRA,France,France→FRA
India,786896,91.88,94.36,42840,33.04,52.09,13.89,99.23,country,geocoding results,single-country,IND,India,India→IND
Italy,1164449,95.78,97.25,43602,90.97,5.22,3.43,99.61,country,geocoding results,single-country,ITA,Italy,Italy→ITA
Canada,915638,98.36,98.99,43920,96.9,2.62,0.36,99.79,country,geocoding results,single-country,CAN,Canada,Canada→CAN
Spain,882748,97.56,98.6,26809,80.46,11.73,7.59,99.83,country,geocoding results,single-country,ESP,Spain,Spain→ESP
Brazil,684488,98.54,99.55,9883,85.51,10.76,3.46,99.71,country,geocoding results,single-country,BRA,Brazil,Brazil→BRA
Australia,878644,86.09,90.26,21259,91.71,4.95,2.9,99.67,country,geocoding results,single-country,AUS,Australia,Australia→AUS
Netherlands,522047,97.42,98.6,51052,85.15,0.28,14.35,99.76,country,geocoding results,single-country,NLD,Netherlands,Netherlands→NLD
Sweden,306161,97.96,98.41,44888,94.67,0.8,4.41,99.87,country,geocoding results,single-country,SWE,Sweden,Sweden→SWE
Russian Federation,400543,98.99,99.27,14746,90.84,5.04,3.62,99.57,country,geocoding results,single-country,RUS,Russian Federation,Russian Federation→RUS
Iran (Islamic Republic of),456057,97.25,98.45,1083,0.18,2.31,93.54,95.45,country,geocoding results,single-country,IRN,Iran (Islamic Republic of),Iran (Islamic Republic of)→IRN
Türkiye,396686,96.44,96.69,16593,45.14,41.83,11.05,98.42,country,geocoding results,single-country,TUR,Türkiye,Türkiye→TUR
Switzerland,343054,90.77,92.51,38982,91.76,1.28,6.77,99.83,country,geocoding results,single-country,CHE,Switzerland,Switzerland→CHE
Poland,316725,98.7,99.4,6477,94.4,4.48,0.86,99.74,country,geocoding results,single-country,POL,Poland,Poland→POL
