ISO3,N_CLUSTERS_2022,TOP_CLUSTER_RANK_2022,TOTAL_PCT_CLUSTERS_2022,TOTAL_PUB_CLUSTERS_2022
AUS,3,39.0,5840.5229202069295,87674.98337487658
AUT,1,76.0,1559.993812332874,19472.81314994271
BEL,1,47.0,3094.251462343773,27429.04241760398
BRA,1,71.0,757.4316211566291,25887.37758417202
CAN,4,54.0,7976.929437813846,82410.85325772529
CHN,20,3.0,87420.95454583055,1199587.66474525
DEU,8,23.0,44229.81640967823,155176.71109007945
DNK,1,59.0,3075.176447816897,18888.53239043296
ESP,2,48.0,3966.217223558704,66976.13156954029
FIN,1,73.0,2672.066670863559,13346.48370440244
FRA,2,10.0,16528.55816027108,74822.20172795597
GBR,3,19.0,9538.484437775758,92672.74894019218
IND,4,60.0,6958.338512656277,76809.63109604876
IRN,1,32.0,272.5833333333327,61807.08155487986
ISR,1,30.0,7238.208244312115,23378.183263387
ITA,2,53.0,3237.444569319564,57981.51146556528
JPN,5,1.0,183249.1714826841,186791.29755427878
KOR,4,4.0,60674.15323930666,176194.17253831815
NLD,1,25.0,4303.619662200575,52560.68281426145
POL,1,92.0,449.2861992653529,20398.72353863392
RUS,1,31.0,1926.910713959232,53109.15928743407
SGP,1,33.0,4369.783796075993,35483.07185674808
SWE,3,35.0,10115.709220622619,39137.969665720404
TUR,2,46.0,3984.4900516151197,45837.6106348435
USA,21,5.0,172414.17631362702,616196.8006952391
