ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
ALB,Albania,UM,Europe,EUR,2811.65,55.928,19566.01
DZA,Algeria,LM,Northern Africa and Western Asia,NAWA,46164.22,628.99,13681.62
AGO,Angola,LM,Sub-Saharan Africa,SSA,36749.91,260.323,7077.3
ARG,Argentina,UM,Latin America and the Caribbean,LCN,45538.4,1239.52,26506.09
ARM,Armenia,UM,Northern Africa and Western Asia,NAWA,2943.38,58.497,19744.71
AUS,Australia,HI,"South East Asia, East Asia, and Oceania",SEAO,26451.12,1719.26,64673.83
AUT,Austria,HI,Europe,EUR,9130.43,626.458,69069
AZE,Azerbaijan,UM,Northern Africa and Western Asia,NAWA,10318.22,192.146,18694.36
BHR,Bahrain,HI,Northern Africa and Western Asia,NAWA,1569.69,95.973,60715.02
BGD,Bangladesh,LM,Central and Southern Asia,CSA,171467.02,1476.87,8673.26
BRB,Barbados,HI,Latin America and the Caribbean,LCN,245.63,5.436,18738.27
BLR,Belarus,UM,Europe,EUR,9115.67,221.186,24016.6
BEL,Belgium,HI,Europe,EUR,11712.9,769.682,65813.45
BEN,Benin,LM,Sub-Saharan Africa,SSA,14111.03,59.241,4305.31
BOL,Bolivia (Plurinational State of),LM,Latin America and the Caribbean,LCN,12244.17,125.428,10340.34
BIH,Bosnia and Herzegovina,UM,Europe,EUR,3185.08,68.012,19633.56
BWA,Botswana,UM,Sub-Saharan Africa,SSA,2480.26,51.886,19394.05
BRA,Brazil,UM,Latin America and the Caribbean,LCN,211140.73,4101.02,20078.87
BRN,Brunei Darussalam,HI,"South East Asia, East Asia, and Oceania",SEAO,458.93,32,72609.57
BGR,Bulgaria,UM,Europe,EUR,6795.8,216.499,33780.38
BFA,Burkina Faso,LI,Sub-Saharan Africa,SSA,23025.78,62.788,2682.63
BDI,Burundi,LI,Sub-Saharan Africa,SSA,13689.47,11.551,890.18
CPV,Cabo Verde,LM,Sub-Saharan Africa,SSA,522.32,5.717,9909.37
KHM,Cambodia,LM,"South East Asia, East Asia, and Oceania",SEAO,17423.91,98.319,6086.74
CMR,Cameroon,LM,Sub-Saharan Africa,SSA,28372.67,133.335,4660.75
CAN,Canada,HI,Northern America,NAC,39296.57,2378.97,59813.41
CHL,Chile,HI,Latin America and the Caribbean,LCN,19658.83,597.52,29934.53
CHN,China,UM,"South East Asia, East Asia, and Oceania",SEAO,1422584.93,32897.93,23308.77
COL,Colombia,UM,Latin America and the Caribbean,LCN,52321.17,1016.12,19482.31
CRI,Costa Rica,UM,Latin America and the Caribbean,LCN,5105.52,141.527,26809.25
HRV,Croatia,HI,Europe,EUR,3896.04,164.672,42873.04
CYP,Cyprus,HI,Northern Africa and Western Asia,NAWA,1344.95,49.655,53931.29
CZE,Czech Republic,HI,Europe,EUR,10809.73,539.318,49025.44
CIV,Côte d'Ivoire,LM,Sub-Saharan Africa,SSA,31165.69,202.647,6960.09
DNK,Denmark,HI,Europe,EUR,5948.13,441.754,74957.66
DOM,Dominican Republic,UM,Latin America and the Caribbean,LCN,11331.29,273.703,25523.02
ECU,Ecuador,UM,Latin America and the Caribbean,LCN,17980.09,242.579,13285.24
EGY,Egypt,LM,Northern Africa and Western Asia,NAWA,114535.77,1809.43,17123.03
SLV,El Salvador,UM,Latin America and the Caribbean,LCN,6309.63,74.505,11717.11
EST,Estonia,HI,Europe,EUR,1367.13,60.997,45235.53
ETH,Ethiopia,LI,Sub-Saharan Africa,SSA,128691.68,393.297,3719.22
FIN,Finland,HI,Europe,EUR,5601.19,335.76,59869.12
FRA,France,HI,Europe,EUR,66438.83,3868.62,58765.13
GEO,Georgia,UM,Northern Africa and Western Asia,NAWA,3807.47,82.21,22357.41
DEU,Germany,HI,Europe,EUR,84548.24,5537.99,66037.76
GHA,Ghana,LM,Sub-Saharan Africa,SSA,33787.93,227.189,6905.04
GRC,Greece,HI,Europe,EUR,10242.9,416.969,39864.06
GTM,Guatemala,UM,Latin America and the Caribbean,LCN,18124.85,201.365,10595.28
HND,Honduras,LM,Latin America and the Caribbean,LCN,10644.84,75.03,7162.66
HKG,"Hong Kong, China",HI,"South East Asia, East Asia, and Oceania",SEAO,7442.71,548.999,72860.76
HUN,Hungary,HI,Europe,EUR,9686.46,421.683,43601.43
ISL,Iceland,HI,Europe,EUR,386.98,27.078,69833.11
IND,India,LM,Central and Southern Asia,CSA,1439163.44,13119.62,9183.37
IDN,Indonesia,UM,"South East Asia, East Asia, and Oceania",SEAO,281190.1,4393.37,15835.82
IRN,Iran (Islamic Republic of),LM,Central and Southern Asia,CSA,90608.71,1725.87,19941.53
IRL,Ireland,HI,Europe,EUR,5196.64,722.929,137638.2
ISR,Israel,HI,Northern Africa and Western Asia,NAWA,9256.32,537.14,54771.43
ITA,Italy,HI,Europe,EUR,59499.43,3193.18,54258.99
JAM,Jamaica,UM,Latin America and the Caribbean,LCN,2839.78,35.69,12994.58
