Archivo,Formato,Indicadores_incluidos,N_paises,Muestra_paises,Rango_años,N_filas_datos,Fuente_WB,Uso_en_proyecto
wdi_all_indicators_wide.csv,Wide (una columna por indicador),gdp_per_capita_ppp | gdp_current_usd | exports_pct_gdp | fdi_net_inflows | inflation_consumer_prices | labor_force | population | unemployment_rate | rd_expenditure | patent_applications_residents | internet_penetration | mobile_subscriptions_per100 | tertiary_education | education_expenditure_pct_gdp | control_of_corruption | government_effectiveness | political_stability | regulatory_quality | rule_of_law | voice_accountability,63,"Muestra principal del proyecto: OCDE + economias emergentes clave (Argentina, Australia, Austria, Belgium, Brazil, Bulgaria, Cameroon, Canada, Chile, China, Colombia, Costa Rica, Croatia, Cyprus, Czechia, Denmark, Egypt, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, India, Indonesia, Ireland, Israel, Italy, Japan, Jordan, Kazakhstan, Korea Rep., Latvia, Lithuania, Luxembourg, Malaysia, Mexico, Netherlands, New Zealand, Nigeria, Norway, Peru, Philippines, Poland, Portugal, Romania, Russia, Saudi Arabia, Singapore, Slovenia, South Africa, Spain, Sweden, Switzerland, Thailand, Tunisia, Turkiye, UAE, UK, USA, Uruguay, Viet Nam)",2013-2024,756 (63 paises × 12 años),WDI (World Development Indicators) + WGI (Worldwide Governance Indicators),Archivo principal para analisis: contiene todos los indicadores en formato listo para regresion (una fila por pais-año)
wdi_all_indicators_long.csv,Long/tidy (una fila por pais-año-indicador),"Mismos 20 indicadores que wdi_all_indicators_wide.csv. Columnas: iso3, year, country_name, value, wb_indicator (codigo WB), canonical_name",63,Mismos 63 paises que wdi_all_indicators_wide.csv,2013-2024,"13,910 (63 paises × 12 años × ~18 indicadores con datos; valores faltantes no generan fila)",WDI + WGI,Formato alternativo del mismo dataset principal — util para ggplot/pandas/R tidy. Incluye codigo WB oficial (wb_indicator) para trazabilidad a fuente original.
wdi_governance.csv,Long (una fila por pais-año-indicador),control_of_corruption | government_effectiveness | political_stability | regulatory_quality | rule_of_law | voice_accountability,63,Mismos 63 paises principales,2013-2023 (WGI solo disponible hasta 2023),"4,158",WGI (Worldwide Governance Indicators) — escala aprox. -2.5 a +2.5,Subconjunto tematico de gobernanza. Variable clave para el proyecto: regulatory_quality es el proxy de calidad regulatoria general; government_effectiveness mide capacidad institucional.
wdi_governance_metadata.csv,Long (una fila por pais-año-indicador),"Para cada uno de los 6 indicadores WGI: standard error (SE) y numero de fuentes de datos (nsrc). Ej: control_of_corruption_se, control_of_corruption_nsrc, government_effectiveness_se, etc. (12 variables total)",63,Mismos 63 paises principales,2013-2023,"8,316",WGI — metadatos de incertidumbre del indice,Permite analisis de robustez: los SE permiten ponderar observaciones por precision o construir intervalos de confianza para los indicadores de gobernanza.
wdi_economic_structure.csv,Long (una fila por pais-año-indicador),gdp_current_usd | exports_pct_gdp | fdi_net_inflows | inflation_consumer_prices | labor_force | population | unemployment_rate,63,Mismos 63 paises principales,2013-2024,"5,274",WDI,Subconjunto tematico de estructura economica — variables de control macroeconomico para las regresiones.
wdi_human_capital_infra.csv,Long (una fila por pais-año-indicador),education_expenditure_pct_gdp | mobile_subscriptions_per100 | patent_applications_residents,63,Mismos 63 paises principales,2013-2024,"1,794",WDI,Subconjunto de capital humano e infraestructura. patent_applications_residents es variable de outcome de innovacion; education_expenditure es control de inversion en capital humano.
wdi_core_controls.csv,Long (una fila por pais-año-indicador),gdp_per_capita_ppp | internet_penetration | rd_expenditure | tertiary_education,63,Mismos 63 paises principales,2013-2024,"2,684",WDI,"Los 4 controles mas usados en modelos de innovacion y ecosistema digital: riqueza (PIB pc), infraestructura digital (internet), inversion en I+D, y capital humano (educacion terciaria)."
wdi_expansion_23.csv,Wide (una columna por indicador),gdp_per_capita_ppp | rd_expenditure | internet_penetration | tertiary_education | population | gdp_current_usd | unemployment_rate,22,"Muestra de expansion (paises adicionales no incluidos en los 63 principales): Armenia, Bangladesh, Bahrain, Belarus, Belize, Barbados, Ecuador, Ghana, Kenya, Lebanon, Sri Lanka, Morocco, Malta, Mongolia, Mauritius, Pakistan, Panama, Serbia, Slovakia, Seychelles, Uganda, Ukraine",2013-2024,264 (22 paises × 12 años),WDI,"Extension de la muestra principal con 22 paises adicionales, pero solo 7 de los 20 indicadores. Para analisis de sensibilidad con muestra ampliada."
wgi_expansion_22.csv,Wide (una columna por indicador),control_of_corruption | government_effectiveness | regulatory_quality | rule_of_law,22,Mismos 22 paises de expansion que wdi_expansion_23.csv,2019-2023,110 (22 paises × 5 años),WGI,Indicadores de gobernanza para la muestra de expansion. Rango de años mas corto (2019-2023) que el dataset principal.
digital_economy_86.csv,Wide (una columna por indicador),high_tech_exports_pct (exportaciones de alta tecnologia como % de exportaciones manufactureras) | ict_service_exports_pct (exportaciones de servicios TIC como % de exportaciones totales de servicios),85,Muestra combinada completa: 63 paises principales + 22 paises de expansion = 85 paises totales,2019-2024,506 (85 paises × ~6 años; algunos con valores faltantes),WDI,Variables de economia digital — proxies del nivel de sofisticacion tecnologica exportadora del pais. Rango de años mas corto que los otros archivos (desde 2019).
