bloque,variable,codigo_wb,nombre_wb,descripcion,unidad,escala,rango_min,rango_max,fuente,metodo_extraccion,url_api,url_web
Desarrollo,gdp_per_capita_ppp,NY.GDP.PCAP.PP.CD,"GDP per capita, PPP (current international $)","PIB per capita ajustado por paridad de poder adquisitivo (PPA). Mide el nivel de desarrollo economico de un pais, controlando por diferencias en costo de vida. Variable de control fundamental en modelos de innovacion y adopcion tecnologica.",USD internacionales corrientes,Corriente,823.0131,155941.2882,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NY.GDP.PCAP.PP.CD?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NY.GDP.PCAP.PP.CD
Desarrollo,gdp_current_usd,NY.GDP.MKTP.CD,GDP (current US$),Producto Interno Bruto a precios de mercado en dolares estadounidenses corrientes. Indica el tamano absoluto de la economia.,USD corrientes,Corriente,48015259.8751,28750956130731.2,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.CD?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NY.GDP.MKTP.CD
Desarrollo,gdp_growth_annual_pct,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),Tasa de crecimiento anual del PIB a precios constantes. Control de dinamismo economico y ciclo de negocios.,% anual,Porcentaje,-54.4021,75.3084,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NY.GDP.MKTP.KD.ZG?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NY.GDP.MKTP.KD.ZG
Desarrollo,inflation_consumer_prices,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",Cambio porcentual anual en el costo promedio de la canasta de bienes y servicios. Control de estabilidad macroeconomica.,% anual,Porcentaje,-12.297,557.2018,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/FP.CPI.TOTL.ZG?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/FP.CPI.TOTL.ZG
Desarrollo,unemployment_rate,SL.UEM.TOTL.ZS,"Unemployment, total (% of total labor force)",Porcentaje de la fuerza laboral que esta sin trabajo pero busca empleo activamente. Control de condicion del mercado laboral.,% fuerza laboral,Porcentaje,0.1,36.472,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SL.UEM.TOTL.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SL.UEM.TOTL.ZS
Desarrollo,population,SP.POP.TOTL,"Population, total",Poblacion total de mitad de ano. Util para normalizar variables en terminos per capita.,Personas,Absoluta,9646.0,1450935791.0,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SP.POP.TOTL
Desarrollo,labor_force,SL.TLF.TOTL.IN,"Labor force, total",Tamano total de la fuerza laboral. Complementa unemployment_rate para evaluar el mercado de trabajo.,Personas,Absoluta,29532.0,781187865.0,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/SL.TLF.TOTL.IN?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/SL.TLF.TOTL.IN
Apertura,exports_pct_gdp,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),Exportaciones totales como porcentaje del PIB. Mide el grado de apertura externa de la economia.,% PIB,Porcentaje,0.7209,222.3085,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NE.EXP.GNFS.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NE.EXP.GNFS.ZS
Apertura,trade_pct_gdp,NE.TRD.GNFS.ZS,Trade (% of GDP),Suma de exportaciones e importaciones como porcentaje del PIB. Indicador integral de apertura comercial.,% PIB,Porcentaje,1.9954,412.1772,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NE.TRD.GNFS.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NE.TRD.GNFS.ZS
Apertura,fdi_net_inflows,BX.KLT.DINV.CD.WD,"Foreign direct investment, net inflows (BoP, current US$)",Inversion extranjera directa neta en dolares corrientes. Mide la entrada de capital productivo internacional.,USD corrientes,Corriente,-343402798888.19,477956000000.0,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/BX.KLT.DINV.CD.WD?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/BX.KLT.DINV.CD.WD
Apertura,fdi_pct_gdp,BX.KLT.DINV.WD.GD.ZS,"Foreign direct investment, net inflows (% of GDP)",Inversion extranjera directa neta como porcentaje del PIB. Mejor para comparar paises que FDI en valores absolutos.,% PIB,Porcentaje,-1303.1083,452.221,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/BX.KLT.DINV.WD.GD.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/BX.KLT.DINV.WD.GD.ZS
Apertura,gross_capital_formation_pct_gdp,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),Formacion bruta de capital como porcentaje del PIB. Inversion agregada en la economia.,% PIB,Porcentaje,-15.6784,55.7788,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/NE.GDI.TOTL.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/NE.GDI.TOTL.ZS
Digital,internet_penetration,IT.NET.USER.ZS,Individuals using the Internet (% of population),Porcentaje de la poblacion que utiliza Internet. Indicador clave de infraestructura digital basica.,% poblacion,Porcentaje,2.7314,100.0,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/IT.NET.USER.ZS?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/IT.NET.USER.ZS
Digital,mobile_subscriptions_per100,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),Suscripciones a telefonia movil celular por cada 100 personas. Indicador de conectividad movil.,por 100 personas,Ratio,16.3341,574.1523,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/IT.CEL.SETS.P2?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/IT.CEL.SETS.P2
Digital,fixed_broadband_per100,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),Suscripciones a banda ancha fija por cada 100 personas. Indicador de infraestructura digital avanzada.,por 100 personas,Ratio,0.0,75.7497,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/IT.NET.BBND.P2?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/IT.NET.BBND.P2
Digital,secure_servers_per_1m,IT.NET.SECR.P6,Secure Internet servers (per 1 million people),Servidores de Internet seguros por cada millon de personas. Proxy de madurez en ciberseguridad y servicios digitales.,por 1M personas,Ratio,0.0765,3262663.4307,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/IT.NET.SECR.P6?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/IT.NET.SECR.P6
Digital,electric_consumption_kwh_pc,EG.USE.ELEC.KH.PC,Electric power consumption (kWh per capita),"Consumo de energia electrica per capita en kWh. Proxy de capacidad energetica, relevante para infraestructura de IA y data centers.",kWh per capita,Ratio,13.717,54646.5904,WDI,API v2 (source=2),https://api.worldbank.org/v2/country/all/indicator/EG.USE.ELEC.KH.PC?date=2018:2025&format=json&source=2,https://data.worldbank.org/indicator/EG.USE.ELEC.KH.PC
