iso3,year,value,wb_indicator,canonical_name,var_year
AFG,2023,17152234636.8715,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
AFG,2022,14497243872.1337,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
AFG,2021,14259995441.0759,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
AFG,2020,19955929052.1496,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
AFG,2019,18799444490.1128,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
AFG,2018,18053222687.4126,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
ALB,2024,27046429296.6673,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
ALB,2023,23491242727.4082,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
ALB,2022,19017247013.8821,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
ALB,2021,18031989573.0294,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
ALB,2020,15241458744.5927,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
ALB,2019,15585111614.0376,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
ALB,2018,15379508329.7568,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
DZA,2024,269322281664.773,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
DZA,2023,247923887214.655,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
DZA,2022,225581644702.568,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
DZA,2021,186231205262.082,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
DZA,2020,164873415325.201,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
DZA,2019,193459662090.677,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
DZA,2018,194554483655.528,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
ASM,2022,871000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
ASM,2021,750000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
ASM,2020,721000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
ASM,2019,647000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
ASM,2018,639000000.0,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
AND,2024,4039842405.48117,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
AND,2023,3785065524.84754,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
AND,2022,3380611694.73392,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
AND,2021,3324648075.56293,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
AND,2020,2891002460.29153,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
AND,2019,3155150255.91195,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
AND,2018,3218418631.67579,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
