iso3,country_name,wb_region,wb_income_group,capital_city,longitude,latitude
ABW,Aruba,Latin America & Caribbean ,High income,Oranjestad,-70.0167,12.5167
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Kabul,69.1761,34.5228
AGO,Angola,Sub-Saharan Africa ,Lower middle income,Luanda,13.242,-8.81155
ALB,Albania,Europe & Central Asia,Upper middle income,Tirane,19.8172,41.3317
AND,Andorra,Europe & Central Asia,High income,Andorra la Vella,1.5218,42.5075
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Abu Dhabi,54.3705,24.4764
ARG,Argentina,Latin America & Caribbean ,Upper middle income,Buenos Aires,-58.4173,-34.6118
ARM,Armenia,Europe & Central Asia,Upper middle income,Yerevan,44.509,40.1596
ASM,American Samoa,East Asia & Pacific,High income,Pago Pago,-170.691,-14.2846
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,Saint John's,-61.8456,17.1175
AUS,Australia,East Asia & Pacific,High income,Canberra,149.129,-35.282
AUT,Austria,Europe & Central Asia,High income,Vienna,16.3798,48.2201
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Baku,49.8932,40.3834
BDI,Burundi,Sub-Saharan Africa ,Low income,Bujumbura,29.3639,-3.3784
BEL,Belgium,Europe & Central Asia,High income,Brussels,4.36761,50.8371
BEN,Benin,Sub-Saharan Africa ,Lower middle income,Porto-Novo,2.6323,6.4779
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,Ouagadougou,-1.53395,12.3605
BGD,Bangladesh,South Asia,Lower middle income,Dhaka,90.4113,23.7055
BGR,Bulgaria,Europe & Central Asia,High income,Sofia,23.3238,42.7105
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,Manama,50.5354,26.1921
BHS,"Bahamas, The",Latin America & Caribbean ,High income,Nassau,-77.339,25.0661
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Sarajevo,18.4214,43.8607
BLR,Belarus,Europe & Central Asia,Upper middle income,Minsk,27.5766,53.9678
BLZ,Belize,Latin America & Caribbean ,Upper middle income,Belmopan,-88.7713,17.2534
BMU,Bermuda,North America,High income,Hamilton,-64.706,32.3293
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,La Paz,-66.1936,-13.9908
BRA,Brazil,Latin America & Caribbean ,Upper middle income,Brasilia,-47.9292,-15.7801
BRB,Barbados,Latin America & Caribbean ,High income,Bridgetown,-59.6105,13.0935
BRN,Brunei Darussalam,East Asia & Pacific,High income,Bandar Seri Begawan,114.946,4.94199
BTN,Bhutan,South Asia,Lower middle income,Thimphu,89.6177,27.5768
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,Gaborone,25.9201,-24.6544
CAF,Central African Republic,Sub-Saharan Africa ,Low income,Bangui,21.6407,5.63056
CAN,Canada,North America,High income,Ottawa,-75.6919,45.4215
